captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.26723.first,candidates.26723.last,candidates.26723.incumbent,candidates.26723.party,candidates.26723.candidateID,candidates.26723.ballotOrder,candidates.26723.polID,candidates.26723.polNum,candidates.26723.electWon,candidates.28402.first,candidates.28402.last,candidates.28402.party,candidates.28402.candidateID,candidates.28402.ballotOrder,candidates.28402.polID,candidates.28402.polNum,candidates.28402.electWon,candidates.26723.winnerDateTime,isCertified
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,1822150,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,1939944,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667968316,2022-11-08 22:31:56 -0600,c7364a5d7197a125b098705a317e32ff0afe0f57,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2058454,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2061447,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667969160,2022-11-08 22:46:00 -0600,702f27aec8e9117aaf59a55a71ae69d9a7aed7a6,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2135926,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667969942,2022-11-08 22:59:02 -0600,302c96144aa0d22b0603db04cac0928c1e8a79f9,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2265427,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667970681,2022-11-08 23:11:21 -0600,dd69cd860a28762a05e9344e662f63641aef1dd4,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2269370,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667970772,2022-11-08 23:12:52 -0600,ff16f6d52970f222f2507893063188ae79c5be58,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2265427,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667970812,2022-11-08 23:13:32 -0600,1aa0c0767ec6f65018ec090a318d7ab5fec791c2,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2322258,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667971571,2022-11-08 23:26:11 -0600,d2379320e55d7c8b235939474aad516c1cf9a83b,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2366929,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667972473,2022-11-08 23:41:13 -0600,a29b2b07dc776af5545ee4ec64ead9d5ba96e873,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2420070,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973160,2022-11-08 23:52:40 -0600,a8c30e49fdf2578eef8c8f50f6106d095bb0fc07,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2422037,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973204,2022-11-08 23:53:24 -0600,9ca1adc2a96ccb8173cfd35380377368538cfb03,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2420070,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973248,2022-11-08 23:54:08 -0600,fb954f3a0e354e923f1bd778e51927737d2c1332,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2466238,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973292,2022-11-08 23:54:52 -0600,f4e2e76b95b1963799e86b607fe710743960389e,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2521059,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973379,2022-11-08 23:56:19 -0600,ed82c57e44d916231a228645db25042e154a7fb4,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2466238,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973512,2022-11-08 23:58:32 -0600,c5b8277525be0367964460ee9775326f5b2cc341,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2521059,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973555,2022-11-08 23:59:15 -0600,574ef20eb007a0ff55ecd54e4003b61f517e06b5,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2466238,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973648,2022-11-09 00:00:48 -0600,56d1333c268e0ca83267f304bc7ebda9b0c770b6,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2521059,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973692,2022-11-09 00:01:32 -0600,ace2173236427104569b3ce7a51ec8e19284acf6,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2466238,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973793,2022-11-09 00:03:13 -0600,471324a7f30a6780d5e1d2eb6bf6c21c79776e91,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2521059,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973835,2022-11-09 00:03:55 -0600,b3bdd8a625be8657c0e5a46d72158acdcfd366d2,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2466238,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667973921,2022-11-09 00:05:21 -0600,8c7bea4e5501d62c6edf8b543f4ffeaf66fbee7c,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2521059,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667974006,2022-11-09 00:06:46 -0600,c8cae7bec2b0c7f4ed9e9ca6a473abc069a1d034,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,2518180,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
