captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.39970.first,candidates.39970.last,candidates.39970.party,candidates.39970.candidateID,candidates.39970.polID,candidates.39970.ballotOrder,candidates.39970.polNum,candidates.39970.electWon,candidates.39971.first,candidates.39971.last,candidates.39971.party,candidates.39971.candidateID,candidates.39971.polID,candidates.39971.ballotOrder,candidates.39971.polNum,candidates.39971.electWon,candidates.40005.first,candidates.40005.last,candidates.40005.party,candidates.40005.candidateID,candidates.40005.polID,candidates.40005.ballotOrder,candidates.40005.polNum,candidates.40005.electWon,candidates.40006.first,candidates.40006.last,candidates.40006.party,candidates.40006.candidateID,candidates.40006.polID,candidates.40006.ballotOrder,candidates.40006.polNum,candidates.40006.electWon,candidates.40007.first,candidates.40007.last,candidates.40007.party,candidates.40007.candidateID,candidates.40007.polID,candidates.40007.ballotOrder,candidates.40007.polNum,candidates.40007.electWon,candidates.40008.first,candidates.40008.last,candidates.40008.abbrv,candidates.40008.party,candidates.40008.candidateID,candidates.40008.polID,candidates.40008.ballotOrder,candidates.40008.polNum,candidates.40008.electWon,candidates.40009.first,candidates.40009.last,candidates.40009.party,candidates.40009.candidateID,candidates.40009.polID,candidates.40009.ballotOrder,candidates.40009.polNum,candidates.40009.electWon,candidates.39971.winnerDateTime,isCertified
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,22112,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,23083,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,24910,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,144340,90,30321,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,144340,90,34333,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,144340,90,51392,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,144340,90,72579,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,144340,90,74164,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,144340,90,76193,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1667974399,2022-11-09 00:13:19 -0600,d8b138971a5b2dcea653b8ad14e8ae0ccdecaf13,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,129354,95,76193,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1667976144,2022-11-09 00:42:24 -0600,9ba67be41054bbe85d475769a3f52b32f07bb1ad,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,80203,95,76193,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
