captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.36002.first,candidates.36002.last,candidates.36002.party,candidates.36002.candidateID,candidates.36002.ballotOrder,candidates.36002.polID,candidates.36002.polNum,candidates.36002.electWon,candidates.36216.first,candidates.36216.last,candidates.36216.party,candidates.36216.candidateID,candidates.36216.ballotOrder,candidates.36216.polID,candidates.36216.polNum,candidates.36216.electWon,candidates.36217.first,candidates.36217.last,candidates.36217.abbrv,candidates.36217.incumbent,candidates.36217.party,candidates.36217.candidateID,candidates.36217.ballotOrder,candidates.36217.polID,candidates.36217.polNum,candidates.36217.electWon,candidates.36218.first,candidates.36218.last,candidates.36218.party,candidates.36218.candidateID,candidates.36218.ballotOrder,candidates.36218.polID,candidates.36218.polNum,candidates.36218.electWon,candidates.36217.winnerDateTime
1667971350,2022-11-08 23:22:30 -0600,4e8d6a153dbb49007925da1747ddadcd1394934d,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,69253,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667972176,2022-11-08 23:36:16 -0600,a6fd708cc30eea79171ae74711d81685981a53ab,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,75036,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667972986,2022-11-08 23:49:46 -0600,8b5a6bad408154143d5639ac38f52891382240a4,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,87559,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667973878,2022-11-09 00:04:38 -0600,dd0a2fb7e0a1ea86d312428fcf4c7c68541cc7da,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,91297,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667974712,2022-11-09 00:18:32 -0600,8831ad0cd913a7df98a9591de88a61ddfc8730ee,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,96113,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667975526,2022-11-09 00:32:06 -0600,5374366d2c6a2b7e8af014c09c7cd85c5fd86ee7,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,100725,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667975568,2022-11-09 00:32:48 -0600,0b16058e032a73c78e2e4b787403862608e151dd,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,96113,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667975609,2022-11-09 00:33:29 -0600,62fa28ab1db323241f81f05574f15005f7d100fe,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,100725,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667976346,2022-11-09 00:45:46 -0600,b9be9344301c155fbb38561b225d36627ab71bd2,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,104868,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667976507,2022-11-09 00:48:27 -0600,209b6e99763633b1f7b84bb7726e9e7d3ee0aee1,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,109232,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667978139,2022-11-09 01:15:39 -0600,6e2e8e564c230fac37dee2fdeebdd5738ebfcc2b,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,116149,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667978987,2022-11-09 01:29:47 -0600,6fcf7a05ae4e9ea8d79e41c9b355c51adf37e425,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,168924,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667979807,2022-11-09 01:43:27 -0600,fda1599d5dbdfbd32e28d16eb4a1fc9dc29895a1,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,168924,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667982438,2022-11-09 02:27:18 -0600,6e2d7519ed8d690e9b721451fb376f4d424b2540,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,170007,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667983307,2022-11-09 02:41:47 -0600,10b135d24ef33cdc6e9f28343867411c438e4192,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,177941,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667984283,2022-11-09 02:58:03 -0600,0170dd1ad3b2504037f68d6f19c85fd52c958ac5,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,184297,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667984322,2022-11-09 02:58:42 -0600,e276221deb2b56aa282835bda46e8d0628c88dc4,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,177941,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667984363,2022-11-09 02:59:23 -0600,d6a9e6483825182d1040b09b3e047ae20cab1e3a,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,184297,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667985336,2022-11-09 03:15:36 -0600,e680c144e30a7078448ff3666071965db0334e66,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,187160,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667987073,2022-11-09 03:44:33 -0600,b0d1c36c044b8eae88b2841a5a59da6906503ae5,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,192978,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667989883,2022-11-09 04:31:23 -0600,924024c8f2bc998a14f0708e86a72e0a3e9e1da1,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,232128,99,193892,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1667992280,2022-11-09 05:11:20 -0600,fd162d9fa73404739d535e28c96ea77bef53b60f,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,242998,99,193892,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668012190,2022-11-09 10:43:10 -0600,0cfdde08d6ca122e6ff6d56be95facec6bab70c2,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,242998,99,202168,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668012231,2022-11-09 10:43:51 -0600,51e37339d513ad9dcc140e4b5c4fc06fc715c118,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,242998,99,193892,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668012273,2022-11-09 10:44:33 -0600,0e075d2212728f40c55c4a925d34a9f564132a97,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,242998,99,202168,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668039474,2022-11-09 18:17:54 -0600,f200955d9759f2914d91722ed7addb87101ef501,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,242998,99,209144,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668039515,2022-11-09 18:18:35 -0600,201fb4cad63f64c58901bee66710ba515f3e4d44,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,242998,99,202168,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668039601,2022-11-09 18:20:01 -0600,7e65cd8737daf0be587b2b54fe1d0732f86b906f,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,242998,99,209144,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668040404,2022-11-09 18:33:24 -0600,d65dbd168c6e06bdb0727d2e6c798d7fc1994aa8,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,235308,99,209144,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668047131,2022-11-09 20:25:31 -0600,d8cdd7025c7b6550a371321f9367077eb431f8ef,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,235308,99,212767,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668052243,2022-11-09 21:50:43 -0600,40a1a7345beb5ed91cd897176ed6e13786940430,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,234734,99,212767,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668096355,2022-11-10 10:05:55 -0600,d4bb8365e60493e69ae9a0c28e2ff4441ab285de,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,235672,99,213696,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
1668100906,2022-11-10 11:21:46 -0600,5eefbc0c8cef6973b62d69c63f727d648f319d56,MT-20221108_Eday80,27,General,G,Active Tabulation,Called,H,U.S. House,Eastern,True,District 2,2,230232,99,213696,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,2022-11-09T07:35:03.000Z
