captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.86394.first,candidates.86394.last,candidates.86394.party,candidates.86394.candidateID,candidates.86394.ballotOrder,candidates.86394.polID,candidates.86394.polNum,candidates.86394.electWon,candidates.86395.first,candidates.86395.last,candidates.86395.party,candidates.86395.candidateID,candidates.86395.ballotOrder,candidates.86395.polID,candidates.86395.polNum,candidates.86395.electWon,candidates.86395.winnerDateTime,isCertified
1668014809,2022-11-09 11:26:49 -0600,fffdf43f0b6fc755d70750f983e80a24f6b5fc65,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,292480,99,279134,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668024016,2022-11-09 14:00:16 -0600,5510e2c6baf4c6a853b3b9391c8515e3f4e8b2c3,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,293825,99,279134,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668108260,2022-11-10 13:24:20 -0600,b0ecbcca5fbafa38af1469eeeab3301d51d0a2e3,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,293825,99,279254,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668116097,2022-11-10 15:34:57 -0600,361f57832c11463b32302808a4ab590b9727419a,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,293825,99,279712,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668116139,2022-11-10 15:35:39 -0600,0b9f8ad1f86239e34e5f12c2e25eb267c2e33e72,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,293825,99,279254,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668116181,2022-11-10 15:36:21 -0600,57666b1ec1edcd47a8f49461dadc8e6522ea840c,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,293825,99,279712,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668188016,2022-11-11 11:33:36 -0600,5c97488a9b415b1103e86c14ace1054c00a5945c,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,292148,99,279712,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668189622,2022-11-11 12:00:22 -0600,c8ee239a7538e1f29faf59feb2aa221ce813927d,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,290943,99,279712,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668190436,2022-11-11 12:13:56 -0600,92c11897192f98360115d01acfff12207b91d736,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,290345,99,279712,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668551075,2022-11-15 16:24:35 -0600,e3b16384807ab71ecfdf842ba62bddf6937ac41f,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,290345,99,280236,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668552515,2022-11-15 16:48:35 -0600,0a7785f13aeee78724abf14fb1d8d81c3358c193,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,290345,99,280545,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668621354,2022-11-16 11:55:54 -0600,8dbabdc4d4dc953e8fd2051e2990c777ff7621d9,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,290345,99,281040,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668635892,2022-11-16 15:58:12 -0600,7731019a3ff54213d209933036dce2d839923719,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,290345,99,281427,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668638536,2022-11-16 16:42:16 -0600,54c8b075cb2c700beaed5073566385f9c40e0c9d,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,290345,99,282054,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1671221389,2022-12-16 14:09:49 -0600,8ec01a2dcee3b636a5d003f3e01503fd7e5260cf,NY-20221108_Eday80,33,General,G,Tabulation Paused,Called,H,U.S. House,True,District 19,19,287513,100,281948,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,,Marcus,Molinaro,GOP,86395,2,67747,54605,,2022-11-09T17:08:29.189Z,False
