captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.11186.last,candidates.11186.party,candidates.11186.candidateID,candidates.11186.ballotOrder,candidates.11186.polID,candidates.11186.polNum,candidates.11186.electWon,candidates.11187.last,candidates.11187.party,candidates.11187.candidateID,candidates.11187.ballotOrder,candidates.11187.polID,candidates.11187.polNum,candidates.11187.electWon,raceCallStatus,candidates.11186.winnerDateTime,isCertified
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,197729,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,351807,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,364485,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,356734,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,437040,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,604579,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,670109,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,797081,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,1159935,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,1726939,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667968361,2022-11-08 22:32:41 -0600,0b888fe41bc653990f05b2c6fe09da530560e7a3,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,1785820,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667969248,2022-11-08 22:47:28 -0600,22d8758416ee8e5b986d6c680c79fc8b3c4bdaaf,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,1862097,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667969942,2022-11-08 22:59:02 -0600,302c96144aa0d22b0603db04cac0928c1e8a79f9,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,1891350,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667970856,2022-11-08 23:14:16 -0600,ff06f2de4e569cd29ca92d25039a935917deb88f,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,1909011,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667970899,2022-11-08 23:14:59 -0600,ca5b649b3885623b3ef37439107a0fa8db2d1846,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,1931991,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667971699,2022-11-08 23:28:19 -0600,ab5f2b666bd1b9bf6989ccd1e80db43497d771dc,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,1961096,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667972541,2022-11-08 23:42:21 -0600,d38f954f3e6be3d250d58a04e08655875ea7700c,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,1961096,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667973338,2022-11-08 23:55:38 -0600,60e23f89b0832d690c2e9c2012f75df6b998f230,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,1964218,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667974141,2022-11-09 00:09:01 -0600,6ac032f537e1cf474dd6798112535df8c4f1f419,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,1982742,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
