captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18786.first,candidates.18786.last,candidates.18786.party,candidates.18786.incumbent,candidates.18786.candidateID,candidates.18786.polID,candidates.18786.ballotOrder,candidates.18786.polNum,candidates.18786.electWon,candidates.23305.first,candidates.23305.last,candidates.23305.party,candidates.23305.candidateID,candidates.23305.polID,candidates.23305.ballotOrder,candidates.23305.polNum,candidates.23305.electWon,candidates.18786.winnerDateTime
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,182852,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,183189,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,183867,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,184612,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,192264,99,184612,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667968885,2022-11-08 22:41:25 -0600,5c24a01105c8e263f0bd136533d71002afb61845,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,192264,99,184721,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667973204,2022-11-08 23:53:24 -0600,9ca1adc2a96ccb8173cfd35380377368538cfb03,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,193319,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667973379,2022-11-08 23:56:19 -0600,ed82c57e44d916231a228645db25042e154a7fb4,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,192264,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667973424,2022-11-08 23:57:04 -0600,af3468c86121e4f756caa76aafa8fe74e6306883,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,193319,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667976954,2022-11-09 00:55:54 -0600,b26423d65e9f21df9fee7b50d1d50f05b43eb8df,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
