captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.43358.first,candidates.43358.last,candidates.43358.abbrv,candidates.43358.incumbent,candidates.43358.party,candidates.43358.candidateID,candidates.43358.ballotOrder,candidates.43358.polID,candidates.43358.polNum,candidates.43358.electWon,candidates.49950.first,candidates.49950.last,candidates.49950.party,candidates.49950.candidateID,candidates.49950.ballotOrder,candidates.49950.polID,candidates.49950.polNum,candidates.49950.electWon,candidates.43358.winnerDateTime,isCertified
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140469,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968494,2022-11-08 22:34:54 -0600,cfbd241bb06919184c9a5ad42a24eb60bc59879a,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140105,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968538,2022-11-08 22:35:38 -0600,921a14073c0a588fcddcb6fa0c38955a3a5e6401,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140469,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968580,2022-11-08 22:36:20 -0600,8dda0f830e7e8651004cd9142ca946394c2bd364,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140105,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968622,2022-11-08 22:37:02 -0600,e74479d04a2cbc206da9d05d88b7661e84a5267c,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140469,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968709,2022-11-08 22:38:29 -0600,a479186c1a21e09ae947de1863bf72d461e8b879,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140105,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140469,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968974,2022-11-08 22:42:54 -0600,6782d2843c55794bd70cb628b0a71e22fe48f3f5,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,308635,99,148537,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667969768,2022-11-08 22:56:08 -0600,13751e5ba6ec1b0e3bf8ed4bdd82f9ad01fec7e2,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,308621,99,160616,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667970461,2022-11-08 23:07:41 -0600,7d669d180641a9a00e537201f92d2f70ea120169,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309061,99,163722,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667970548,2022-11-08 23:09:08 -0600,a039c3e3daf59c6709863984d030931ce2f47b8a,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,308621,99,160616,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667970594,2022-11-08 23:09:54 -0600,d4f30f0656d3b91d4423d751f85b9496715af7d9,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309061,99,163722,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
