captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.10568.first,candidates.10568.last,candidates.10568.abbrv,candidates.10568.party,candidates.10568.incumbent,candidates.10568.candidateID,candidates.10568.polID,candidates.10568.ballotOrder,candidates.10568.polNum,candidates.10568.electWon,candidates.10970.first,candidates.10970.last,candidates.10970.party,candidates.10970.candidateID,candidates.10970.polID,candidates.10970.ballotOrder,candidates.10970.polNum,candidates.10970.electWon,candidates.10971.first,candidates.10971.last,candidates.10971.party,candidates.10971.candidateID,candidates.10971.polID,candidates.10971.ballotOrder,candidates.10971.polNum,candidates.10971.electWon,candidates.11021.first,candidates.11021.last,candidates.11021.party,candidates.11021.candidateID,candidates.11021.polID,candidates.11021.ballotOrder,candidates.11021.polNum,candidates.11021.electWon,candidates.10568.winnerDateTime
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,178964,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,222463,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,249560,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,275452,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,285132,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,299791,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,313948,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,318215,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,319379,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,320631,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,320944,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667970415,2022-11-08 23:06:55 -0600,f1d4e9736f94ffa7aa7ebd5da07699c9a419c5df,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,321350,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667971258,2022-11-08 23:20:58 -0600,66df93c53186cc5d338c8a4f0b94d8e859c4ec59,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,321568,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667975402,2022-11-09 00:30:02 -0600,1cb740bfe02888499fbb239b5454758b24512913,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,324816,99,321568,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1668462657,2022-11-14 15:50:57 -0600,95ae2fdd39c4a33ffa3fdfd7f499d5e4eb69f0ae,DE-20221108_Eday82,8,General,G,Gathering Certified Results,Called,H,U.S. House,Delaware at large,True,True,District 1,1,324816,99,321628,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1668464430,2022-11-14 16:20:30 -0600,4f4d406c00e3d38eace7479024371c5ded54fc54,DE-20221108_Eday82,8,General,G,Gathering Certified Results,Called,H,U.S. House,Delaware at large,True,True,District 1,1,324816,99,321649,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1668468062,2022-11-14 17:21:02 -0600,eb807fc03fa0300b17c749a7893b4d9acf5be9d7,DE-20221108_Eday82,8,General,G,Gathering Certified Results,Called,H,U.S. House,Delaware at large,True,True,District 1,1,321649,100,321649,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
