captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22952.first,candidates.22952.last,candidates.22952.abbrv,candidates.22952.party,candidates.22952.candidateID,candidates.22952.polID,candidates.22952.ballotOrder,candidates.22952.polNum,candidates.22952.electWon,candidates.22953.first,candidates.22953.last,candidates.22953.party,candidates.22953.incumbent,candidates.22953.candidateID,candidates.22953.polID,candidates.22953.ballotOrder,candidates.22953.polNum,candidates.22953.electWon,candidates.22953.winnerDateTime,isCertified
1667980799,2022-11-09 01:59:59 -0600,934823804566c431cf70570e863807e708ff1c49,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,71680,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667982557,2022-11-09 02:29:17 -0600,5e236ebaa7ca1e499bf98e18c0b29e2f61478c37,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,72645,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667983307,2022-11-09 02:41:47 -0600,10b135d24ef33cdc6e9f28343867411c438e4192,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,72995,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667983347,2022-11-09 02:42:27 -0600,c5a428b0b947d69a146599b797260f88d1305fd6,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,72645,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667983389,2022-11-09 02:43:09 -0600,1ddd3dfbd0a60636dc0989de2dbe39844110e2a9,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,72995,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667984283,2022-11-09 02:58:03 -0600,0170dd1ad3b2504037f68d6f19c85fd52c958ac5,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,73419,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667988762,2022-11-09 04:12:42 -0600,92057add7b99ef94d7883b2d3dff835f8d4d2ede,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,173317,90,74003,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668048669,2022-11-09 20:51:09 -0600,ae6263bd8c30a166da8a028c3c822eb76489f6e5,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,153921,95,74003,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668051187,2022-11-09 21:33:07 -0600,d5e5f4111f9c62d623677f8ebf655ca2cdc20186,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,153921,95,76034,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668133374,2022-11-10 20:22:54 -0600,34c5589da9adb7d949f3af9c4eea6967b94b777c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,147216,95,76034,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
