captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.11571.first,candidates.11571.last,candidates.11571.abbrv,candidates.11571.party,candidates.11571.incumbent,candidates.11571.candidateID,candidates.11571.polID,candidates.11571.ballotOrder,candidates.11571.polNum,candidates.11571.electWon,candidates.13968.first,candidates.13968.last,candidates.13968.abbrv,candidates.13968.party,candidates.13968.candidateID,candidates.13968.polID,candidates.13968.ballotOrder,candidates.13968.polNum,candidates.13968.electWon,candidates.14276.first,candidates.14276.last,candidates.14276.party,candidates.14276.candidateID,candidates.14276.polID,candidates.14276.ballotOrder,candidates.14276.polNum,candidates.14276.electWon,candidates.11571.winnerDateTime
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,122957,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,208018,99,123670,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,208018,99,129979,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1667967905,2022-11-08 22:25:05 -0600,7b53fc8cb8c53477e9f4fecf82fac92988ee5275,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,208018,99,138216,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1667969549,2022-11-08 22:52:29 -0600,d5fdf591369d5db6b2ad36681ee672e4aa744331,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,208018,99,179535,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1667970415,2022-11-08 23:06:55 -0600,f1d4e9736f94ffa7aa7ebd5da07699c9a419c5df,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,208018,99,186901,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1667971258,2022-11-08 23:20:58 -0600,66df93c53186cc5d338c8a4f0b94d8e859c4ec59,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,214491,99,222827,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1667972176,2022-11-08 23:36:16 -0600,a6fd708cc30eea79171ae74711d81685981a53ab,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,223750,99,222827,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1667974050,2022-11-09 00:07:30 -0600,7abf683084771abb66bcbd62c846b6795b86899c,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,225078,99,222827,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1668014224,2022-11-09 11:17:04 -0600,dc1fee1a1c7c910eae4bf2d164f09f508e17eae5,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,225078,99,221188,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1668025815,2022-11-09 14:30:15 -0600,a7786a2dae0bf93282eb466bdd8bf781e6f8ef51,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,223422,99,221188,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1668175718,2022-11-11 08:08:38 -0600,f353cff5873355a44051e184179496a5addb3164,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,223422,99,223321,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1668179056,2022-11-11 09:04:16 -0600,96778247c76e69d0eaaaca0e2a34e0c9fee9ed7d,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,225577,99,223321,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1668523797,2022-11-15 08:49:57 -0600,b06151aa542c64909b6b6f7fbb8ee8e28e0c2ddd,AR-20221108_Eday80,4,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 3,3,225577,99,223353,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1668701879,2022-11-17 10:17:59 -0600,b1be77ed8943de11a039ef20b0e53d892919fad4,AR-20221108_Eday80,4,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 3,3,26303,100,223353,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1668704598,2022-11-17 11:03:18 -0600,a902c6ab27e16bac2395db0c469a188b9336f399,AR-20221108_Eday80,4,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 3,3,26070,100,223353,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
1668722826,2022-11-17 16:07:06 -0600,d99312aedb5f0c199f40d12a16afea8aa01c8179,AR-20221108_Eday80,4,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 3,3,26569,100,223353,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,2022-11-09T03:37:17.929Z
