captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22968.first,candidates.22968.last,candidates.22968.abbrv,candidates.22968.party,candidates.22968.incumbent,candidates.22968.candidateID,candidates.22968.polID,candidates.22968.ballotOrder,candidates.22968.polNum,candidates.22968.electWon,candidates.22970.first,candidates.22970.last,candidates.22970.party,candidates.22970.candidateID,candidates.22970.polID,candidates.22970.ballotOrder,candidates.22970.polNum,candidates.22970.electWon,candidates.22968.winnerDateTime,isCertified
1668221039,2022-11-11 20:43:59 -0600,b7ca1e38811a966eba6c5ae318e40f37e3eeec0d,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188347,99,104716,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668300043,2022-11-12 18:40:43 -0600,93a68fc8ea92c86bd6bd1c1039e36e7f25ac19a0,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188347,99,107712,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668472304,2022-11-14 18:31:44 -0600,daba8e3a19f8e11f960d341b022137a343743a42,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188347,99,114394,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668474760,2022-11-14 19:12:40 -0600,faa1e7e4f1e8888aa87451d47b64d320f97d9d35,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188371,99,114394,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668476767,2022-11-14 19:46:07 -0600,a9b3651ffd3dc7e71bf93e8bf1d5791d4fa44d4c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188458,99,114394,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668478867,2022-11-14 20:21:07 -0600,84d1e46bcdf4951cbc1be7d7ea2ae38dd1d66586,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188698,99,114394,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668557861,2022-11-15 18:17:41 -0600,fb29262c06d5ae3fa52c12107c77d6eb94350f71,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188698,99,127616,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668564338,2022-11-15 20:05:38 -0600,9b473859ffbf1bd9de7805cab5da4ff9d0c1d3f3,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188559,99,127616,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668567063,2022-11-15 20:51:03 -0600,5f79d32ff680d0738a52a4cad264fd0a27c79c91,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188559,99,127973,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668645165,2022-11-16 18:32:45 -0600,f300001d2a29851180c9e095657731687307590d,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188559,99,140508,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
