captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.62829.first,candidates.62829.last,candidates.62829.party,candidates.62829.candidateID,candidates.62829.polID,candidates.62829.ballotOrder,candidates.62829.polNum,candidates.62829.electWon,candidates.62940.first,candidates.62940.last,candidates.62940.party,candidates.62940.candidateID,candidates.62940.polID,candidates.62940.ballotOrder,candidates.62940.polNum,candidates.62940.electWon,candidates.63485.first,candidates.63485.last,candidates.63485.party,candidates.63485.candidateID,candidates.63485.polID,candidates.63485.ballotOrder,candidates.63485.polNum,candidates.63485.electWon,candidates.62829.winnerDateTime,isCertified
1667975484,2022-11-09 00:31:24 -0600,81d3631081e4e7b24b990567f86cc67079a95e6c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232277,99,175977,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667975526,2022-11-09 00:32:06 -0600,5374366d2c6a2b7e8af014c09c7cd85c5fd86ee7,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232277,99,175173,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667975568,2022-11-09 00:32:48 -0600,0b16058e032a73c78e2e4b787403862608e151dd,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232277,99,175977,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667976387,2022-11-09 00:46:27 -0600,3fc81e357a75429f605eafd56848166989ceb407,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232277,99,196898,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667981404,2022-11-09 02:10:04 -0600,e09740c31d10d15245b40b33933c939d855e3457,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232277,99,197597,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667982239,2022-11-09 02:23:59 -0600,6ac7decc37ff65117d96ebb80dff7cb7afcf6df0,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,228740,99,197597,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667984807,2022-11-09 03:06:47 -0600,5153412fed905c9aa9ebe6edf631d1fa90c2b102,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,228740,99,201701,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667987361,2022-11-09 03:49:21 -0600,9cc128b5987d9c59e09370f209f1915ff92ed38a,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,255624,99,205953,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667990684,2022-11-09 04:44:44 -0600,efdfb7c669faa1b581c8efc142e9f0a832c5334d,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,255624,99,214946,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667993155,2022-11-09 05:25:55 -0600,73de490df1874a99671a4e65f70eb3c12c8d355d,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,263196,99,214946,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667994788,2022-11-09 05:53:08 -0600,2ed6ccd3159171c76e4eb41bed748d399372f8c9,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,263196,99,226443,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667996558,2022-11-09 06:22:38 -0600,6ed410a7a425f22f9d63a92f2659d3edeff4d1d6,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,234699,99,226443,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668010161,2022-11-09 10:09:21 -0600,dcb18984e62889df1882515931115f8398eb2423,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,234699,99,226453,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668050933,2022-11-09 21:28:53 -0600,0628d9c341bf59d47af0cf42204a2799fe85af97,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,234699,99,226685,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668095136,2022-11-10 09:45:36 -0600,f9250087ce922e2bdfe704b9e568bce54b142c3b,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,229921,99,226685,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668100438,2022-11-10 11:13:58 -0600,409936364ac4a1d7ae172dec671720d9c29a8121,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,229921,99,224341,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668101243,2022-11-10 11:27:23 -0600,bcefac9c21405c92b9fb401fb7d51574ee866f28,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,227554,99,224341,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668125114,2022-11-10 18:05:14 -0600,df82279cd67ecaae36a51198509e3c20a97456d7,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,227554,99,224398,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668145449,2022-11-10 23:44:09 -0600,fec7fc815392ff283b5c2cae541a980a4bc30601,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,226665,99,224398,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668188016,2022-11-11 11:33:36 -0600,5c97488a9b415b1103e86c14ace1054c00a5945c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,226665,99,224399,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1668447936,2022-11-14 11:45:36 -0600,ec7a516807a2e64b0317db48e16783841b644708,TX-20221108_Eday80,44,General,G,Tabulation Paused,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,226665,99,224399,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1669826343,2022-11-30 10:39:03 -0600,42e70f646251b307c20b2047fc570da46557b2c8,TX-20221108_Eday80,44,General,G,Gathering Certified Results,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,201266,100,224399,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,False
1669827719,2022-11-30 11:01:59 -0600,f977d46cb6243ae0994959585051d99b0c0ac539,TX-20221108_Eday80,44,General,G,Gathering Certified Results,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,224941,100,224399,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,False
