captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.12151.first,candidates.12151.last,candidates.12151.incumbent,candidates.12151.party,candidates.12151.candidateID,candidates.12151.ballotOrder,candidates.12151.polID,candidates.12151.polNum,candidates.12151.electWon,candidates.13889.first,candidates.13889.last,candidates.13889.party,candidates.13889.candidateID,candidates.13889.ballotOrder,candidates.13889.polID,candidates.13889.polNum,candidates.13889.electWon,candidates.14103.first,candidates.14103.last,candidates.14103.party,candidates.14103.candidateID,candidates.14103.ballotOrder,candidates.14103.polID,candidates.14103.polNum,candidates.14103.electWon,candidates.14104.first,candidates.14104.last,candidates.14104.party,candidates.14104.candidateID,candidates.14104.ballotOrder,candidates.14104.polID,candidates.14104.polNum,candidates.14104.electWon,candidates.12151.winnerDateTime
1667977407,2022-11-09 01:03:27 -0600,7832f401c0de267d87674c9a4024307e1f8adb65,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273456,99,200840,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1667981644,2022-11-09 02:14:04 -0600,795b577eaa6c2f9211213427433f95db1d9ee856,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273456,99,207026,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1667982517,2022-11-09 02:28:37 -0600,646431433e93fe970b24a70347fe4d3180275034,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,243560,99,207026,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668019771,2022-11-09 12:49:31 -0600,19d3a88dc31656c1bde00e3014c49d6ebb0ac780,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273024,99,207026,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668019814,2022-11-09 12:50:14 -0600,f4a1083e2806f5716e5c1476200c9cf8f7bfecf8,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,243560,99,207026,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668019856,2022-11-09 12:50:56 -0600,ec0e356d30cec8af4199e2186e0a6655699be0f2,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273024,99,207026,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668035049,2022-11-09 17:04:09 -0600,bff087a16a7b280445ae4738ddb66814d22774a9,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273024,99,217225,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668054253,2022-11-09 22:24:13 -0600,71ba736c7fcd6e0f1ac19af3cff2cf64b1a9d276,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273024,99,228523,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668054294,2022-11-09 22:24:54 -0600,736bd7c898940ece6164300ee78df45979cdc76a,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273024,99,217225,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668054376,2022-11-09 22:26:16 -0600,049a9c132bb576f08720a0a32a63465f2342073f,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273024,99,228523,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
