captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID.0,incumbentID.1,candidates.20658.first,candidates.20658.last,candidates.20658.incumbent,candidates.20658.party,candidates.20658.candidateID,candidates.20658.ballotOrder,candidates.20658.polID,candidates.20658.polNum,candidates.20658.electWon,candidates.23188.first,candidates.23188.last,candidates.23188.incumbent,candidates.23188.party,candidates.23188.candidateID,candidates.23188.ballotOrder,candidates.23188.polID,candidates.23188.polNum,candidates.23188.electWon,candidates.20658.winnerDateTime
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,304939,99,299009,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,304939,99,299634,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,302977,99,299634,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667972986,2022-11-08 23:49:46 -0600,8b5a6bad408154143d5639ac38f52891382240a4,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,304406,99,300715,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667977529,2022-11-09 01:05:29 -0600,41a86a702268ec57df877a606f8777dfeb75024d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,322758,99,300715,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667980757,2022-11-09 01:59:17 -0600,72f60e217e1e476f42d6eb7260450e361322e2a9,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,305477,99,300715,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667985779,2022-11-09 03:22:59 -0600,af9ba99ad8f2bff9ef334fac2128203d4237fb3b,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,303753,99,300715,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668044023,2022-11-09 19:33:43 -0600,bb8ed62657ff71573a752cf929a9aaa6c1df9628,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,303753,99,300716,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668044903,2022-11-09 19:48:23 -0600,9bd982a190e9237dff9ba219ee2df8449d8b0fd8,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,303753,99,300721,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668096483,2022-11-10 10:08:03 -0600,9a871e260c22b9c63bf494f2d59ec303992e7c72,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,303758,99,300721,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
