captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18757.first,candidates.18757.last,candidates.18757.abbrv,candidates.18757.party,candidates.18757.incumbent,candidates.18757.candidateID,candidates.18757.polID,candidates.18757.ballotOrder,candidates.18757.polNum,candidates.18757.electWon,candidates.23265.first,candidates.23265.last,candidates.23265.abbrv,candidates.23265.party,candidates.23265.candidateID,candidates.23265.polID,candidates.23265.ballotOrder,candidates.23265.polNum,candidates.23265.electWon,candidates.18757.winnerDateTime
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,301870,99,299496,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,303390,99,299496,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,303390,99,299975,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,308966,99,299975,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,303390,99,299975,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,308966,99,299975,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,310954,99,301943,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,304993,99,301943,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667968580,2022-11-08 22:36:20 -0600,8dda0f830e7e8651004cd9142ca946394c2bd364,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,304993,99,302207,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667968622,2022-11-08 22:37:02 -0600,e74479d04a2cbc206da9d05d88b7661e84a5267c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,304993,99,301943,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,304993,99,302207,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,304993,99,304774,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667972854,2022-11-08 23:47:34 -0600,4c493d7ad5df619297ee4ec86e6725cbd0fcac02,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,307586,99,304774,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667977204,2022-11-09 01:00:04 -0600,dac000c6cb8d5ec813c750db85e9cfb1bed2692e,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,307852,99,304774,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1668435474,2022-11-14 08:17:54 -0600,36950eff58b0326899047798c6d637e588c8956f,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 16,16,307852,99,304774,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1668443672,2022-11-14 10:34:32 -0600,8840fe007c2289cb5d0b39065214027ed33ca9ed,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 16,16,307852,99,134858,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1668447196,2022-11-14 11:33:16 -0600,921717ea61b2dd1c125a6e52de3c9f34033f65c9,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 16,16,307852,99,305275,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1669048638,2022-11-21 10:37:18 -0600,4a833f55035bdf60244896e2416e3ddba7b39cd2,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 16,16,305337,100,305275,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
