captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22751.first,candidates.22751.last,candidates.22751.abbrv,candidates.22751.party,candidates.22751.candidateID,candidates.22751.ballotOrder,candidates.22751.polID,candidates.22751.polNum,candidates.22751.electWon,candidates.22752.first,candidates.22752.last,candidates.22752.incumbent,candidates.22752.party,candidates.22752.candidateID,candidates.22752.ballotOrder,candidates.22752.polID,candidates.22752.polNum,candidates.22752.electWon,candidates.22753.first,candidates.22753.last,candidates.22753.party,candidates.22753.candidateID,candidates.22753.ballotOrder,candidates.22753.polID,candidates.22753.polNum,candidates.22753.electWon,candidates.22752.winnerDateTime
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,755596,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,740260,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,755596,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,775389,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,807893,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,894977,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,957172,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1018958,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1019854,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1028246,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
