captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,numRunoff,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.21134.first,candidates.21134.last,candidates.21134.party,candidates.21134.incumbent,candidates.21134.candidateID,candidates.21134.polID,candidates.21134.ballotOrder,candidates.21134.polNum,candidates.21134.electWon,candidates.22555.first,candidates.22555.last,candidates.22555.party,candidates.22555.candidateID,candidates.22555.polID,candidates.22555.ballotOrder,candidates.22555.polNum,candidates.22555.electWon,candidates.23070.first,candidates.23070.last,candidates.23070.party,candidates.23070.candidateID,candidates.23070.polID,candidates.23070.ballotOrder,candidates.23070.polNum,candidates.23070.electWon,candidates.21134.winnerDateTime
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,1713977,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,1758769,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2109591,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2526366,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2261974,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2526366,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2653797,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2711096,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2891629,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2756670,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
