captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38233.first,candidates.38233.last,candidates.38233.party,candidates.38233.incumbent,candidates.38233.candidateID,candidates.38233.polID,candidates.38233.ballotOrder,candidates.38233.polNum,candidates.38233.electWon,candidates.39974.first,candidates.39974.last,candidates.39974.party,candidates.39974.candidateID,candidates.39974.polID,candidates.39974.ballotOrder,candidates.39974.polNum,candidates.39974.electWon,candidates.40010.first,candidates.40010.last,candidates.40010.abbrv,candidates.40010.party,candidates.40010.candidateID,candidates.40010.polID,candidates.40010.ballotOrder,candidates.40010.polNum,candidates.40010.electWon,candidates.40011.first,candidates.40011.last,candidates.40011.party,candidates.40011.candidateID,candidates.40011.polID,candidates.40011.ballotOrder,candidates.40011.polNum,candidates.40011.electWon,candidates.38233.winnerDateTime
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,135164,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667970681,2022-11-08 23:11:21 -0600,dd69cd860a28762a05e9344e662f63641aef1dd4,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,138304,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667973115,2022-11-08 23:51:55 -0600,76528750fef7c265d19f91ec30e86804e3da6e06,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,143496,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667975114,2022-11-09 00:25:14 -0600,7de9a48755736c6c6b0e73777ec236e813c5ce50,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,162749,95,143496,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667975898,2022-11-09 00:38:18 -0600,7609424c163438fd3cafbbf7ed6226754e52c1bd,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,151048,95,143496,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1668015444,2022-11-09 11:37:24 -0600,f4b4b6d878d26e865113e0655fad6fc713e2fdcb,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,151048,95,143712,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1668025856,2022-11-09 14:30:56 -0600,07a92257f84e1eb2c72ed0d7c6fabfef6ecdfa22,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,151048,95,143730,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1668025898,2022-11-09 14:31:38 -0600,0258f33e10be26825c79f387f879f906cbe72eb3,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,151048,95,143712,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1668025938,2022-11-09 14:32:18 -0600,bb3eacf6b3c2999dc329a87b6c6f02e205e912c2,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,151048,95,143730,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1668042762,2022-11-09 19:12:42 -0600,b6d0bdba324f9b1a2e87e5eb8eb7f90c6c1d213d,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,151048,95,144165,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1668196917,2022-11-11 14:01:57 -0600,766c3c65aa0233389a8c493d3b72f2e38cd5d6fa,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,151067,95,144165,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1668525028,2022-11-15 09:10:28 -0600,159b6c6dbb2da85ad64d334b7c6696f21cb067da,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,151067,95,144298,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1668706070,2022-11-17 11:27:50 -0600,6acb86e2c80591c8f9236ef482638d3af9584897,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 9,9,151067,95,144298,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1669066206,2022-11-21 15:30:06 -0600,a85e409fe16ae300b896ddc00c5a1d19cedbdc08,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 9,9,148342,95,144298,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1669067382,2022-11-21 15:49:42 -0600,18a3808cc25092c90b57d7b94c5ee8e85a70d379,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 9,9,148190,95,144624,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
