captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22921.first,candidates.22921.last,candidates.22921.party,candidates.22921.candidateID,candidates.22921.polID,candidates.22921.ballotOrder,candidates.22921.polNum,candidates.22921.electWon,candidates.22922.first,candidates.22922.last,candidates.22922.party,candidates.22922.candidateID,candidates.22922.polID,candidates.22922.ballotOrder,candidates.22922.polNum,candidates.22922.electWon,isCertified
1668048711,2022-11-09 20:51:51 -0600,912779076be2edb62ecd1abd78e44057e5c7d04a,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,138295,95,69227,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668126458,2022-11-10 18:27:38 -0600,0395de690b00104fea4adefd8951bf39fb618532,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,138295,95,71665,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668132988,2022-11-10 20:16:28 -0600,e7bd45670392bb69ab5b1134685d038d08b891ea,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,138295,95,74956,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668133927,2022-11-10 20:32:07 -0600,fb3dd7aa115bf4bede539d1feb772fd2fcd5a59f,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,138295,99,74956,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668134700,2022-11-10 20:45:00 -0600,257c0acc9e40e671e403feced1dea6ce310250a3,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,138394,99,74956,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668134743,2022-11-10 20:45:43 -0600,d30883ce814c656196e03a0cb700d30119e165ca,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,138295,99,74956,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668134785,2022-11-10 20:46:25 -0600,ffbeb9fc3a00f9b9914dc70f8fc99bc482c93fae,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,138394,99,74956,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668135595,2022-11-10 20:59:55 -0600,2e4050206a560b7aecc217757d36ca63b4ad71e1,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,130451,99,76237,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668149906,2022-11-11 00:58:26 -0600,ebce7f24e8a1c69efc0203fd3b3cb8ea8ddfce44,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,130451,99,74956,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668150702,2022-11-11 01:11:42 -0600,25c375c069d0b95d954a77aa4b349e68c7319039,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,130451,99,76237,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668216031,2022-11-11 19:20:31 -0600,6d55c42009eed40c40abe35a749c38819a415ed5,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,130451,99,79310,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668221123,2022-11-11 20:45:23 -0600,23412420e03fd2c0b57aa9fce429ab21f81d6f66,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,129766,99,79310,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668483066,2022-11-14 21:31:06 -0600,6c5f60f718b8e4391f7c5c4f2b407fcd8bc0190d,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,129766,99,101645,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668562673,2022-11-15 19:37:53 -0600,499e55aeb4906ae9cd9fda8f78e9a23fea15cc90,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,131083,99,104035,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668566990,2022-11-15 20:49:50 -0600,efc59b894e6b42b1fab6996518b23cf831a6a1a8,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,131083,99,109414,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668569234,2022-11-15 21:27:14 -0600,cf7d2b5bc2aad31208ef1da9348fb87e033f7f50,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,131083,99,112442,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668649062,2022-11-16 19:37:42 -0600,4942f6da306d9581f475fca0d96d3a04a04b7435,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,131356,99,112442,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668655939,2022-11-16 21:32:19 -0600,b519afdaeaf14f29cba215becfce25e92c1cedcf,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,131356,99,119205,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668737457,2022-11-17 20:10:57 -0600,674408fd7483765aa2f5ceca15490f5e5e91bbba,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,131356,99,124231,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668742257,2022-11-17 21:30:57 -0600,7fb5c74b6793650587ad1295353ba54feac51fa1,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,133326,99,124231,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668808078,2022-11-18 15:47:58 -0600,a0fc489d5a1369a41bb43429eac13da6e2cbeedf,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,133326,99,124609,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668816447,2022-11-18 18:07:27 -0600,ef8ea0384923313afb8d6a8dd0cb0805b3307b24,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,133326,99,126213,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668818726,2022-11-18 18:45:26 -0600,c4d6cde66478236f7531562bc179bdfe00424aa5,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,133186,99,126213,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1668822845,2022-11-18 19:54:05 -0600,0967d02844f6948cdd9231d47828b099213e8f82,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,133090,99,126213,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1669141852,2022-11-22 12:30:52 -0600,d76a77b9ecb7ba1a32a61911bd034955df0416ac,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,133090,99,128044,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,False
1669150360,2022-11-22 14:52:40 -0600,8baf17af9f528d6eda18320404a419dea5d8e0a6,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,133816,99,128044,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,False
1669167392,2022-11-22 19:36:32 -0600,58c04f05fe321df570356c8bf148a3e9803e7c43,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,133816,99,132020,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,False
1669174338,2022-11-22 21:32:18 -0600,67d6dcd19904a6336da0fc98ab8c60ad13b20447,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,134696,99,132982,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,False
