captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.32594.first,candidates.32594.last,candidates.32594.incumbent,candidates.32594.party,candidates.32594.candidateID,candidates.32594.ballotOrder,candidates.32594.polID,candidates.32594.polNum,candidates.32594.electWon,candidates.35466.first,candidates.35466.last,candidates.35466.abbrv,candidates.35466.party,candidates.35466.candidateID,candidates.35466.ballotOrder,candidates.35466.polID,candidates.35466.polNum,candidates.35466.electWon,candidates.32594.winnerDateTime,isCertified
1667976184,2022-11-09 00:43:04 -0600,fe83a024be41b5416de8f3b3aadef0173027df04,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,151000,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667976225,2022-11-09 00:43:45 -0600,c783db16cb20062f52dbeb35e3ddece74a1360e9,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,173579,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667978096,2022-11-09 01:14:56 -0600,9704f9ed3b0570d75ec2a13ef6d6f848b5453f32,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,296546,95,192854,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667979032,2022-11-09 01:30:32 -0600,a31ce2695fce3442cac91f4d2a6adca7af21c91c,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,295537,95,192854,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667980717,2022-11-09 01:58:37 -0600,979cc4970243f257438e38dd6dfd832de95ae652,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,290006,95,192854,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667983307,2022-11-09 02:41:47 -0600,10b135d24ef33cdc6e9f28343867411c438e4192,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,276042,95,192854,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1668009710,2022-11-09 10:01:50 -0600,74116622b8c9b2150fa904b12a554af9ef5dfe6f,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,276042,95,201633,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1668010579,2022-11-09 10:16:19 -0600,592a3bc68988af696982d033e96f0cab9e847320,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,276042,95,214943,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1668012980,2022-11-09 10:56:20 -0600,4f183e7cbe6831b97d283341e458fd68593ab4f5,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,276042,95,237089,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1668017123,2022-11-09 12:05:23 -0600,ed18f7216787cdb5ef36ddfcc78146352dc91fa1,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,274294,95,237089,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
