captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23056.first,candidates.23056.last,candidates.23056.party,candidates.23056.candidateID,candidates.23056.polID,candidates.23056.ballotOrder,candidates.23056.polNum,candidates.23056.electWon,candidates.23059.first,candidates.23059.last,candidates.23059.party,candidates.23059.incumbent,candidates.23059.candidateID,candidates.23059.polID,candidates.23059.ballotOrder,candidates.23059.polNum,candidates.23059.electWon,candidates.23059.winnerDateTime
1668303047,2022-11-12 19:30:47 -0600,6d3ac01f605e63c6bd493d5cd68f160eed484f35,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,217986,99,145044,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668396755,2022-11-13 21:32:35 -0600,3bfcce9ca03f5622116097307dffa5c4b760c3a1,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,217986,99,161902,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668477073,2022-11-14 19:51:13 -0600,fdce27aeaf6e5fb74e523cbd902d9fb3a6fee5db,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,217986,99,176941,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668484802,2022-11-14 22:00:02 -0600,cfaa91732aa7fa3f2b506f39f1c7dccd8cbd2f39,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,221176,99,176941,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668563536,2022-11-15 19:52:16 -0600,e1def9c70e8be7156bfb75b09f1d55a3e5eb123b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 41,41,221176,99,176941,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,2022-11-15T03:59:43.914Z
1668567063,2022-11-15 20:51:03 -0600,5f79d32ff680d0738a52a4cad264fd0a27c79c91,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 41,41,221176,99,185043,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,2022-11-15T03:59:43.914Z
1668655939,2022-11-16 21:32:19 -0600,b519afdaeaf14f29cba215becfce25e92c1cedcf,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 41,41,221176,99,198912,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,2022-11-15T03:59:43.914Z
1668742246,2022-11-17 21:30:46 -0600,ddc1a42af896e5bff63561a4e42f6d3e753a05a7,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 41,41,211609,99,211440,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,2022-11-15T03:59:43.914Z
1668828766,2022-11-18 21:32:46 -0600,a250e34f814bdb11f83e005c5526791d51bba437,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 41,41,234933,99,223750,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,2022-11-15T03:59:43.914Z
1668844145,2022-11-19 01:49:05 -0600,f2090ceacbb5f259c667e71fe09077003952f128,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 41,41,235526,99,223750,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,2022-11-15T03:59:43.914Z
1669037502,2022-11-21 07:31:42 -0600,bbb5c2fcd0d82e7cd512091451b091f50a37ba1c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 41,41,235526,99,230346,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,2022-11-15T03:59:43.914Z
1669087963,2022-11-21 21:32:43 -0600,2348d22a1f857773fe65efe9b3c1e9e767b2220b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 41,41,235526,99,233353,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,2022-11-15T03:59:43.914Z
