captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10826.first,candidates.10826.last,candidates.10826.abbrv,candidates.10826.party,candidates.10826.candidateID,candidates.10826.ballotOrder,candidates.10826.polID,candidates.10826.polNum,candidates.10826.electWon,candidates.10829.first,candidates.10829.last,candidates.10829.party,candidates.10829.candidateID,candidates.10829.ballotOrder,candidates.10829.polID,candidates.10829.polNum,candidates.10829.electWon,candidates.11173.first,candidates.11173.last,candidates.11173.party,candidates.11173.candidateID,candidates.11173.ballotOrder,candidates.11173.polID,candidates.11173.polNum,candidates.11173.electWon,candidates.11174.first,candidates.11174.last,candidates.11174.party,candidates.11174.candidateID,candidates.11174.ballotOrder,candidates.11174.polID,candidates.11174.polNum,candidates.11174.electWon,candidates.10829.winnerDateTime,isCertified
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,139927,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,130287,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,162608,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,212057,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,221541,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,313624,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,430101,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,475425,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,495327,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,808601,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
