captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.62805.first,candidates.62805.last,candidates.62805.party,candidates.62805.candidateID,candidates.62805.ballotOrder,candidates.62805.polID,candidates.62805.polNum,candidates.62805.electWon,candidates.62930.first,candidates.62930.last,candidates.62930.abbrv,candidates.62930.party,candidates.62930.candidateID,candidates.62930.ballotOrder,candidates.62930.polID,candidates.62930.polNum,candidates.62930.electWon,candidates.62805.winnerDateTime
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,143685,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,147177,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,156880,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,269211,99,158500,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,267913,99,192876,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,266623,99,197151,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,266623,99,206006,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,266623,99,206006,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,266623,99,213028,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667968844,2022-11-08 22:40:44 -0600,9af6e1ce44325ca43504ad5e0ccab8e9f14ef964,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,266623,99,218272,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667970548,2022-11-08 23:09:08 -0600,a039c3e3daf59c6709863984d030931ce2f47b8a,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,260917,99,227630,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667972264,2022-11-08 23:37:44 -0600,32512d68a8869811d6b4c587f4ea396147ae27a4,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,244517,99,227630,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667973028,2022-11-08 23:50:28 -0600,a3d91b8cb9f4b51cad939bdf33c45f8678401177,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,250223,99,227630,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667973921,2022-11-09 00:05:21 -0600,8c7bea4e5501d62c6edf8b543f4ffeaf66fbee7c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,250223,99,234293,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667976996,2022-11-09 00:56:36 -0600,c42ff185ff10da6e900ee98d629248349a3fcfdc,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,250232,99,234293,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667977035,2022-11-09 00:57:15 -0600,89983779edad63b3a09a72677c82618581111910,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,250223,99,234293,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667977077,2022-11-09 00:57:57 -0600,e96cea5b95acdc4d7cb935c4ee20e3275e516aa1,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,250232,99,234293,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667987724,2022-11-09 03:55:24 -0600,e2b744a1d315e0b0cd2e8cf8e84b4bbaa0ecd42c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,257903,99,234293,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1667996758,2022-11-09 06:25:58 -0600,a3aad5a78cf89bbfb450f58ebedf39a84f11028b,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,236659,99,234293,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1668108680,2022-11-10 13:31:20 -0600,b12445dae27ac1777ad53520b637c33ff85f3a13,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East TX, LA border",True,District 1,1,236659,99,234293,476443,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
1668447775,2022-11-14 11:42:55 -0600,2685151acc926b27249f8dddbe6ee36bbac8cb7c,TX-20221108_Eday80,44,General,G,Tabulation Paused,Called,H,U.S. House,"East TX, LA border",True,District 1,1,236659,99,234293,476443,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,2022-11-09T03:57:54.950Z
