captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.32612.first,candidates.32612.last,candidates.32612.abbrv,candidates.32612.incumbent,candidates.32612.party,candidates.32612.candidateID,candidates.32612.ballotOrder,candidates.32612.polID,candidates.32612.polNum,candidates.32612.electWon,candidates.35464.first,candidates.35464.last,candidates.35464.abbrv,candidates.35464.party,candidates.35464.candidateID,candidates.35464.ballotOrder,candidates.35464.polID,candidates.35464.polNum,candidates.35464.electWon,candidates.32612.winnerDateTime,isCertified
1667971482,2022-11-08 23:24:42 -0600,23c628a73988ac759f27061cca400c61ae3577c8,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,196452,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667972364,2022-11-08 23:39:24 -0600,bfe9cb466aa6b65574c16effa903cd993efd4fe0,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,207630,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667973115,2022-11-08 23:51:55 -0600,76528750fef7c265d19f91ec30e86804e3da6e06,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,208361,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667973921,2022-11-09 00:05:21 -0600,8c7bea4e5501d62c6edf8b543f4ffeaf66fbee7c,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,215408,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667974712,2022-11-09 00:18:32 -0600,8831ad0cd913a7df98a9591de88a61ddfc8730ee,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,215798,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667974762,2022-11-09 00:19:22 -0600,eae9f5b1ba131d7652f49e9c3001c7a015f755b1,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,219778,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667975568,2022-11-09 00:32:48 -0600,0b16058e032a73c78e2e4b787403862608e151dd,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,226533,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667975815,2022-11-09 00:36:55 -0600,bd9ec1a9bacd26e63399e24cdeba1aa1e9b2608a,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,224375,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667975855,2022-11-09 00:37:35 -0600,d40e181df232b9ad900add6b9f138db1906ff011,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,226533,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667975898,2022-11-09 00:38:18 -0600,7609424c163438fd3cafbbf7ed6226754e52c1bd,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,224375,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667975981,2022-11-09 00:39:41 -0600,41d3dfc6389002e5c03a1c16c1b7382e8f7f3159,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,226533,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667976021,2022-11-09 00:40:21 -0600,1f65c40d3c652c15981217b194d23b97d0290d89,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,224375,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667976265,2022-11-09 00:44:25 -0600,f24bbc37a7ca703e419e133d048b4da5b1f386e7,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,226533,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667976306,2022-11-09 00:45:06 -0600,a65306ebcf7e41c11b1557bbe78229c6107820ce,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,224375,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667976346,2022-11-09 00:45:46 -0600,b9be9344301c155fbb38561b225d36627ab71bd2,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,230387,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667977118,2022-11-09 00:58:38 -0600,166d3636d4ad2b271b1961e941eeb74972fe2b9a,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,284422,95,231003,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667978220,2022-11-09 01:17:00 -0600,e1b3684a64586d8bd4fc0a1bcb44792f80525495,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,279211,95,231003,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
