captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.37888.last,candidates.37888.party,candidates.37888.candidateID,candidates.37888.polID,candidates.37888.ballotOrder,candidates.37888.polNum,candidates.37888.electWon,candidates.37889.last,candidates.37889.party,candidates.37889.candidateID,candidates.37889.polID,candidates.37889.ballotOrder,candidates.37889.polNum,candidates.37889.electWon,raceCallStatus,candidates.37888.winnerDateTime,isCertified
1667986188,2022-11-09 03:29:48 -0600,64f0dd4fc7a8de22a11d1603592ffce335504ee7,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,790467,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667986270,2022-11-09 03:31:10 -0600,8b08ac238b66c1bf432ca7a82738d5523f4e4f8f,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,774762,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667986312,2022-11-09 03:31:52 -0600,247a3d1d50873ce12e852fc2d9d50fa5f45ffbf7,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,790467,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667986431,2022-11-09 03:33:51 -0600,571b6e116a19aa53d8fa13ce1c809bdc2f746683,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1129239,99,790467,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667987926,2022-11-09 03:58:46 -0600,73e091fdf26f4aa144c64e02115a1b8534b6c6ed,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1129239,99,816859,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667987965,2022-11-09 03:59:25 -0600,4dde3c8f59c3bcf3cff48ec0c0bbba8cecf9614a,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1129239,99,790467,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667988006,2022-11-09 04:00:06 -0600,4a727edcdaed346df9a04de89a91559ac20cd2b0,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1129239,99,816859,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1668008851,2022-11-09 09:47:31 -0600,4eae96cb5afd738f6ff1a06c1e6f29b746e53059,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1060856,99,816859,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1668044985,2022-11-09 19:49:45 -0600,9d3a0e86c726b04c966faf8f14aec55c0bda867b,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1060856,99,817741,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1668045028,2022-11-09 19:50:28 -0600,316e77f325a543f33a99d5976367a4f26b3c9f12,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1060856,99,816859,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1668045070,2022-11-09 19:51:10 -0600,7ef78fa0bbead8f53016dfec28f716add8ee64a1,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1060856,99,817741,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1668045113,2022-11-09 19:51:53 -0600,2a8e4a2229b9679aaf0a8c53b73b63272434b327,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1060856,99,816859,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1668045582,2022-11-09 19:59:42 -0600,7d3a0e7013e0269decebb4314cb265f420dd1db3,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1060856,99,817741,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1668047215,2022-11-09 20:26:55 -0600,874c727af17b9ba8a6dc2c2f64f51fcc3bdb770a,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1060856,99,831145,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
