captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.53106.first,candidates.53106.middle,candidates.53106.last,candidates.53106.party,candidates.53106.candidateID,candidates.53106.ballotOrder,candidates.53106.polID,candidates.53106.polNum,candidates.53106.electWon,candidates.53170.first,candidates.53170.last,candidates.53170.party,candidates.53170.candidateID,candidates.53170.ballotOrder,candidates.53170.polID,candidates.53170.polNum,candidates.53170.electWon,candidates.53170.winnerDateTime,isCertified
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,136752,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,182290,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,213864,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,247020,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,277807,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,306410,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,314746,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667969018,2022-11-08 22:43:38 -0600,465844bb53a3330849af3b4eca4fced2045c6920,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,319984,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667970772,2022-11-08 23:12:52 -0600,ff16f6d52970f222f2507893063188ae79c5be58,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,320449,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667971482,2022-11-08 23:24:42 -0600,23c628a73988ac759f27061cca400c61ae3577c8,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,320790,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
