captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10871.first,candidates.10871.last,candidates.10871.party,candidates.10871.candidateID,candidates.10871.ballotOrder,candidates.10871.polID,candidates.10871.polNum,candidates.10871.electWon,candidates.10875.first,candidates.10875.last,candidates.10875.party,candidates.10875.candidateID,candidates.10875.ballotOrder,candidates.10875.polID,candidates.10875.polNum,candidates.10875.electWon,candidates.11177.first,candidates.11177.last,candidates.11177.abbrv,candidates.11177.party,candidates.11177.candidateID,candidates.11177.ballotOrder,candidates.11177.polID,candidates.11177.polNum,candidates.11177.electWon,candidates.10875.winnerDateTime
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,194977,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,204731,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,219179,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,236991,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667968406,2022-11-08 22:33:26 -0600,9894c9990b429281fa1911dc561355d202f43cc4,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241194,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241730,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667968494,2022-11-08 22:34:54 -0600,cfbd241bb06919184c9a5ad42a24eb60bc59879a,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241194,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241730,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667968974,2022-11-08 22:42:54 -0600,6782d2843c55794bd70cb628b0a71e22fe48f3f5,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241194,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667969248,2022-11-08 22:47:28 -0600,22d8758416ee8e5b986d6c680c79fc8b3c4bdaaf,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241730,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667969292,2022-11-08 22:48:12 -0600,27c0128769cb9950dd2d2f7b010376c6821eb8bd,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241194,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667969334,2022-11-08 22:48:54 -0600,564b670a16af98b12d8c8533dac3052916cfa498,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241730,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,249227,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667971032,2022-11-08 23:17:12 -0600,84fafb476f7846131500489058ff24997434ed54,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,241730,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667971079,2022-11-08 23:17:59 -0600,1cf7281bce65e8581e70a1164dc3589ed87371d4,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,249227,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1667971879,2022-11-08 23:31:19 -0600,e58483b4fb47a48c624446a947423840f5e4d94b,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,432430,99,253772,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1668035217,2022-11-09 17:06:57 -0600,5756b5d7730803e313bbfd3707c5425f18d4c523,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,256335,99,253772,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1668115335,2022-11-10 15:22:15 -0600,236f57487eac0cc9d7626fe4c68867e4c70051fc,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,256335,99,253784,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
1668780715,2022-11-18 08:11:55 -0600,81100cc82dc21fa1b86e407a9539ad1ebcf272e4,MO-20221108_Eday80,26,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,256335,99,253784,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,2022-11-09T04:12:00.958Z
