captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18860.first,candidates.18860.last,candidates.18860.incumbent,candidates.18860.party,candidates.18860.candidateID,candidates.18860.ballotOrder,candidates.18860.polID,candidates.18860.polNum,candidates.18860.electWon,candidates.19546.first,candidates.19546.last,candidates.19546.party,candidates.19546.candidateID,candidates.19546.ballotOrder,candidates.19546.polID,candidates.19546.polNum,candidates.19546.electWon,candidates.19732.first,candidates.19732.last,candidates.19732.party,candidates.19732.candidateID,candidates.19732.ballotOrder,candidates.19732.polID,candidates.19732.polNum,candidates.19732.electWon,candidates.19733.first,candidates.19733.last,candidates.19733.party,candidates.19733.candidateID,candidates.19733.ballotOrder,candidates.19733.polID,candidates.19733.polNum,candidates.19733.electWon,candidates.19822.first,candidates.19822.last,candidates.19822.party,candidates.19822.candidateID,candidates.19822.ballotOrder,candidates.19822.polID,candidates.19822.polNum,candidates.19822.electWon,candidates.18860.winnerDateTime,isCertified
1667974399,2022-11-09 00:13:19 -0600,d8b138971a5b2dcea653b8ad14e8ae0ccdecaf13,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,272972,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,306405,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667975402,2022-11-09 00:30:02 -0600,1cb740bfe02888499fbb239b5454758b24512913,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,341657,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667976265,2022-11-09 00:44:25 -0600,f24bbc37a7ca703e419e133d048b4da5b1f386e7,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,358754,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667977035,2022-11-09 00:57:15 -0600,89983779edad63b3a09a72677c82618581111910,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,380287,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667977854,2022-11-09 01:10:54 -0600,48bc116d28d8730921e71b24209c1971684df670,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,408434,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667978542,2022-11-09 01:22:22 -0600,643a62c46ea55cf4fad03f9b86a6bd47ba933cb2,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,417603,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667978867,2022-11-09 01:27:47 -0600,8f7ffef576df16b5e6e751d97fa7f2b2a5635644,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,429044,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667978906,2022-11-09 01:28:26 -0600,46fb017a53063e25347989264492b06463ea0564,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,417688,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667978947,2022-11-09 01:29:07 -0600,fbdf43e99d03976809db926359d350cf01d6dc4e,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,429044,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
