captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22964.first,candidates.22964.last,candidates.22964.party,candidates.22964.candidateID,candidates.22964.polID,candidates.22964.ballotOrder,candidates.22964.polNum,candidates.22964.electWon,candidates.22967.first,candidates.22967.last,candidates.22967.party,candidates.22967.incumbent,candidates.22967.candidateID,candidates.22967.polID,candidates.22967.ballotOrder,candidates.22967.polNum,candidates.22967.electWon,candidates.22967.winnerDateTime,isCertified
1667988683,2022-11-09 04:11:23 -0600,730aa85a41cde9ade0ab0457bb30546a32d14e79,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988722,2022-11-09 04:12:02 -0600,bd79a899567605757bf50a8e1f566a203e64b328,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,136389,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988762,2022-11-09 04:12:42 -0600,92057add7b99ef94d7883b2d3dff835f8d4d2ede,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988801,2022-11-09 04:13:21 -0600,4c72a5c0e2471fa350291b6c4da371e39c3bbefa,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,136389,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988922,2022-11-09 04:15:22 -0600,f2fa14f9c9cdc4848abee151cdeb35c28ce0f80a,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988962,2022-11-09 04:16:02 -0600,c9c4a60677ea04d6ab18d6eec6d6c3a7761f64fa,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,136389,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667989001,2022-11-09 04:16:41 -0600,bf48d088f90a7df84b22532f076e84f8881100c4,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667989041,2022-11-09 04:17:21 -0600,bc5911b3ed71beee72651a07b463dd7490179043,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,136389,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667990044,2022-11-09 04:34:04 -0600,b31639d107a0f86a9a0ed2e2ed076b52871cd559,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,136389,90,42682,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668048460,2022-11-09 20:47:40 -0600,17859ed337e255ba30c50ecfe4ee2e6b866696f0,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,108492,95,42682,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
