captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.45634.first,candidates.45634.last,candidates.45634.party,candidates.45634.candidateID,candidates.45634.polID,candidates.45634.ballotOrder,candidates.45634.polNum,candidates.45634.electWon,candidates.45639.first,candidates.45639.last,candidates.45639.party,candidates.45639.candidateID,candidates.45639.polID,candidates.45639.ballotOrder,candidates.45639.polNum,candidates.45639.electWon,candidates.45634.winnerDateTime,isCertified
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,297582,99,212956,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,297582,99,215254,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,297582,99,220574,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,297582,99,249506,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277040,99,273822,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667971614,2022-11-08 23:26:54 -0600,3e2db293b352d34f57f22cada11d4f92f345178d,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,277040,99,273822,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,
1668722498,2022-11-17 16:01:38 -0600,8a8c70cf9cc5086017132833ed2a642f54785b95,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,277040,99,273954,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,
1668733526,2022-11-17 19:05:26 -0600,c10fe0dccf09079949d1d251966315ce9e6fdcb3,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,277040,99,274533,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,
1668778915,2022-11-18 07:41:55 -0600,7eaf6a5bc4bcc04bae3397c100baca84bfcbe56a,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,277040,99,274778,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,
1668782972,2022-11-18 08:49:32 -0600,0e909470e679a34327c7bc3038fb16b865d07e94,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,277040,99,277346,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,
1668882340,2022-11-19 12:25:40 -0600,24418afbe94532ff2dc651b2e49a9051b63ff7f6,NC-20221108_Eday80,34,General,G,Tabulation Paused,Called,H,U.S. House,True,District 13,13,279634,99,277346,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,
1668885649,2022-11-19 13:20:49 -0600,d80f524ee7a17b31d7bfd1b86d2edd38767e0337,NC-20221108_Eday80,34,General,G,Tabulation Paused,Called,H,U.S. House,True,District 13,13,279882,99,277346,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,
1669134040,2022-11-22 10:20:40 -0600,3878cb6759d222793d4da18f111bc08bbda7a6ba,NC-20221108_Eday80,34,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 13,13,279882,99,277346,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,
1669138951,2022-11-22 11:42:31 -0600,29a6e8236a00b06f2e0d6c01df128da8ff1cfe33,NC-20221108_Eday80,34,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 13,13,279882,99,277346,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,False
1669736088,2022-11-29 09:34:48 -0600,e4e4b4f6dc386eded0f19e7d2433210bf04ca561,NC-20221108_Eday80,34,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 13,13,180847,100,277346,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,False
1669755365,2022-11-29 14:56:05 -0600,aa09c24ecad943847c2d08c50fced7010fefee3b,NC-20221108_Eday80,34,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 13,13,277346,100,277346,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,2022-11-09T05:17:03.996Z,False
