captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22552.first,candidates.22552.last,candidates.22552.party,candidates.22552.candidateID,candidates.22552.ballotOrder,candidates.22552.polID,candidates.22552.polNum,candidates.22552.electWon,candidates.22762.first,candidates.22762.last,candidates.22762.party,candidates.22762.candidateID,candidates.22762.ballotOrder,candidates.22762.polID,candidates.22762.polNum,candidates.22762.electWon,candidates.22804.first,candidates.22804.last,candidates.22804.party,candidates.22804.candidateID,candidates.22804.ballotOrder,candidates.22804.polID,candidates.22804.polNum,candidates.22804.electWon,candidates.22804.winnerDateTime,isCertified
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,16468,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,27266,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,42232,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,194703,99,47758,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,190139,99,57933,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,194216,99,63455,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,194216,99,64356,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,195079,99,70311,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,195079,99,116356,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,195079,99,117400,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,195079,99,166197,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,195079,99,168206,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,183692,99,168206,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,183692,99,193730,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667968538,2022-11-08 22:35:38 -0600,921a14073c0a588fcddcb6fa0c38955a3a5e6401,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,198702,99,193730,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1667972718,2022-11-08 23:45:18 -0600,82050e33466e239ff80fc50a65e5e86526b235c1,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,195688,99,193730,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1668200980,2022-11-11 15:09:40 -0600,ac132a6a38f9cb5ac7406ce3189113a74ad9e3f1,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,195688,99,193729,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1668203475,2022-11-11 15:51:15 -0600,223cb79a3b4131d1736d68ad795ff1cee1fc3be6,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,195688,99,193730,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,2022-11-09T02:09:39.798Z,
1670521520,2022-12-08 11:45:20 -0600,c9cc675471e816222e8bd2e4cf9262cf0623b341,IN-20221108_Eday80,15,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 2,2,194362,100,193730,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,,William,Henry,Lib,22762,3,71635,18769,,Rudy,Yakym,GOP,22804,1,71760,18796,,2022-11-09T02:09:39.798Z,False
