captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.48048.first,candidates.48048.last,candidates.48048.party,candidates.48048.incumbent,candidates.48048.candidateID,candidates.48048.polID,candidates.48048.ballotOrder,candidates.48048.polNum,candidates.48048.electWon,candidates.49617.first,candidates.49617.last,candidates.49617.party,candidates.49617.candidateID,candidates.49617.polID,candidates.49617.ballotOrder,candidates.49617.polNum,candidates.49617.electWon,candidates.48048.winnerDateTime
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,353485,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,470111,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,484521,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,470111,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,484521,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,616005,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,607808,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,715002,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,687438,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,774394,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,807089,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,829691,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,850969,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,961145,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1040785,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1170868,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1220576,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1282964,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1292088,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1319625,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667968272,2022-11-08 22:31:12 -0600,97ef6c54bfa1c7ef6beea70c87aafe0c54251ad8,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1401170,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667969116,2022-11-08 22:45:16 -0600,79682069eac6cae3840febac265b40363b9c51ff,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1419759,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667970027,2022-11-08 23:00:27 -0600,0d3c5c12e1d5e510cd8a9d7ec7188e7376d3702a,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1444628,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667970899,2022-11-08 23:14:59 -0600,ca5b649b3885623b3ef37439107a0fa8db2d1846,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1493885,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667972427,2022-11-08 23:40:27 -0600,ae4901446f849f3ab62f6a79323d475c59ad0832,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1520715,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667975652,2022-11-09 00:34:12 -0600,d498600900e4c0350d8f00907a8e8a97bd48aba6,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1575322,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667976467,2022-11-09 00:47:47 -0600,32bb8c730464b2ab549dbe977eea353741198772,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1587414,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667977288,2022-11-09 01:01:28 -0600,8a44f565442a4579e6df315edf5565e7f37a882b,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1622267,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667979072,2022-11-09 01:31:12 -0600,00d0273ce2273675231b3e46721cb19b13a68da3,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1622535,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667986710,2022-11-09 03:38:30 -0600,e76b62f6ea65887d3b04b50648890c6997b1f3db,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1674536,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1668012315,2022-11-09 10:45:15 -0600,567314004598350364c9a305f4bb2c814be32d4d,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,1674695,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
