captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.6773.last,candidates.6773.party,candidates.6773.candidateID,candidates.6773.ballotOrder,candidates.6773.polID,candidates.6773.polNum,candidates.6773.electWon,candidates.6774.last,candidates.6774.party,candidates.6774.candidateID,candidates.6774.ballotOrder,candidates.6774.polID,candidates.6774.polNum,candidates.6774.electWon,raceCallStatus,candidates.6774.winnerDateTime,isCertified
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,156540,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,138215,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,167003,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,187884,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,193659,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,402779,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,421584,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,494922,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,603595,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,675671,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,686188,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,780046,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,802029,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,895706,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,956205,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,995662,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1031621,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1056015,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1110255,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1169757,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1240961,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1244955,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667967592,2022-11-08 22:19:52 -0600,bb461283809479aaf92a1a30cba63636f0c85695,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1247421,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667968406,2022-11-08 22:33:26 -0600,9894c9990b429281fa1911dc561355d202f43cc4,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1263380,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1549569,99,1310273,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
