captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23466.first,candidates.23466.last,candidates.23466.party,candidates.23466.candidateID,candidates.23466.ballotOrder,candidates.23466.polID,candidates.23466.polNum,candidates.23466.electWon,candidates.23467.first,candidates.23467.last,candidates.23467.incumbent,candidates.23467.party,candidates.23467.candidateID,candidates.23467.ballotOrder,candidates.23467.polID,candidates.23467.polNum,candidates.23467.electWon,candidates.23467.winnerDateTime,isCertified
1667980397,2022-11-09 01:53:17 -0600,1b200414e74e74c077c598450c24c8df6fb7c5e4,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4754347,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667981204,2022-11-09 02:06:44 -0600,09a8563a8daa3136c9787fc4f73c6b797a1fddf0,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4788618,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667981404,2022-11-09 02:10:04 -0600,e09740c31d10d15245b40b33933c939d855e3457,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4783475,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667981443,2022-11-09 02:10:43 -0600,7cffe27ed1e74c6f72f6bbb8eb945d7366a075bf,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4788618,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667981563,2022-11-09 02:12:43 -0600,1a72bb9afe5de6d72d064bda241592377cc63fb1,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4783475,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667981603,2022-11-09 02:13:23 -0600,3310dbe8867ffe9b16ad80e27a2817750d56a0d9,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4788618,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667981923,2022-11-09 02:18:43 -0600,72d70ddd6acecdb673c79e8b3e57763fb964c22c,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4783475,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667982199,2022-11-09 02:23:19 -0600,0f8260b25929c4b69b3b9d7f2f5fb7ed3444679e,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4844469,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667982318,2022-11-09 02:25:18 -0600,d78896390711a8466dc4ef9e83dee06bc896d9df,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4834770,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667982357,2022-11-09 02:25:57 -0600,ff53ebff45de84907b3660264b93dcdeaff24a17,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4844469,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
