captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38902.first,candidates.38902.last,candidates.38902.abbrv,candidates.38902.incumbent,candidates.38902.party,candidates.38902.candidateID,candidates.38902.ballotOrder,candidates.38902.polID,candidates.38902.polNum,candidates.38902.electWon,candidates.39227.first,candidates.39227.last,candidates.39227.abbrv,candidates.39227.party,candidates.39227.candidateID,candidates.39227.ballotOrder,candidates.39227.polID,candidates.39227.polNum,candidates.39227.electWon,candidates.38902.winnerDateTime
1667978016,2022-11-09 01:13:36 -0600,7febc527721e6e7f43de63ba3eb206040d4f99d8,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,220059,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667978057,2022-11-09 01:14:17 -0600,45226886ebec704c2559e16aa3f6244612fff44c,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,219322,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667978096,2022-11-09 01:14:56 -0600,9704f9ed3b0570d75ec2a13ef6d6f848b5453f32,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,220059,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667978339,2022-11-09 01:18:59 -0600,e64fd6d30c0bca643babf663d248b28fa9a45ee8,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,244084,98,220059,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667979231,2022-11-09 01:33:51 -0600,0aac9649608b65a23e9855cf5cacd405130eb626,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,232918,98,220059,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667979352,2022-11-09 01:35:52 -0600,e079dbe0e2152cacf9a0e6dcdd2341bfb90f0345,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,232918,98,221019,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667979392,2022-11-09 01:36:32 -0600,2a9713d989c4e8842dc1ac9158bf609fb05242be,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,232918,98,220059,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667980354,2022-11-09 01:52:34 -0600,b95b3aa03864d3aa8e20ef68881e81d2ed7e17c2,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,226545,98,221019,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667980960,2022-11-09 02:02:40 -0600,77e86fad3864f77f6953461bce33086104908ed9,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,225671,98,221019,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667982675,2022-11-09 02:31:15 -0600,786807e6e366b393d0fa43f17f9992eb44d36d90,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,225671,98,221536,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
