captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.4634.first,candidates.4634.last,candidates.4634.incumbent,candidates.4634.party,candidates.4634.candidateID,candidates.4634.ballotOrder,candidates.4634.polID,candidates.4634.polNum,candidates.4634.electWon,candidates.6149.first,candidates.6149.last,candidates.6149.party,candidates.6149.candidateID,candidates.6149.ballotOrder,candidates.6149.polID,candidates.6149.polNum,candidates.6149.electWon,candidates.6421.first,candidates.6421.last,candidates.6421.party,candidates.6421.candidateID,candidates.6421.ballotOrder,candidates.6421.polID,candidates.6421.polNum,candidates.6421.electWon,candidates.6422.first,candidates.6422.last,candidates.6422.party,candidates.6422.candidateID,candidates.6422.ballotOrder,candidates.6422.polID,candidates.6422.polNum,candidates.6422.electWon,candidates.4634.winnerDateTime,isCertified
1667982953,2022-11-09 02:35:53 -0600,13d6d4b4c5dace7f7aa45ed141b768f0bd488e4b,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1369429,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667983801,2022-11-09 02:50:01 -0600,f8dcd2921862fa8f2b18f478a2ad042ae3e8bf73,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1376904,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667984601,2022-11-09 03:03:21 -0600,932ac8732eb74666c5c0cf274fd2822c2821b401,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1378685,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667985093,2022-11-09 03:11:33 -0600,add46abbfc92cef6d2edcd2670f5bac30248fa35,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1385181,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667985134,2022-11-09 03:12:14 -0600,2c897b0fc200e1893488b5752c5c41a90d4a2217,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1378685,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667985436,2022-11-09 03:17:16 -0600,3424d47f5341c2a346e8a3799f78a52faeab6c0b,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1385181,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667985683,2022-11-09 03:21:23 -0600,8d6490b73382f2ed58c3fbdb846897b79d79f217,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1391367,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667986590,2022-11-09 03:36:30 -0600,807a67bd2dd5f5804d3aaa9d1f793b08c0174156,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1395419,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667987403,2022-11-09 03:50:03 -0600,eef7197364d0afbe2fb1aa00d4cd30fccd721d19,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1403241,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667988722,2022-11-09 04:12:02 -0600,bd79a899567605757bf50a8e1f566a203e64b328,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1406289,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
