captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.42895.first,candidates.42895.last,candidates.42895.party,candidates.42895.incumbent,candidates.42895.candidateID,candidates.42895.polID,candidates.42895.ballotOrder,candidates.42895.polNum,candidates.42895.electWon,candidates.45604.first,candidates.45604.last,candidates.45604.party,candidates.45604.candidateID,candidates.45604.polID,candidates.45604.ballotOrder,candidates.45604.polNum,candidates.45604.electWon,candidates.42895.winnerDateTime,isCertified
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,247523,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,258882,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,264983,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,284263,99,273854,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,284263,99,276431,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,284263,99,276622,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,2022-11-09T04:04:17.210Z,
1667968974,2022-11-08 22:42:54 -0600,6782d2843c55794bd70cb628b0a71e22fe48f3f5,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,285481,99,276622,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,2022-11-09T04:04:17.210Z,
1667969018,2022-11-08 22:43:38 -0600,465844bb53a3330849af3b4eca4fced2045c6920,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,284263,99,276622,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,2022-11-09T04:04:17.210Z,
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,285481,99,276622,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,2022-11-09T04:04:17.210Z,
1668095224,2022-11-10 09:47:04 -0600,0e26f4c4494a8cb2aa1e14153af4857659853624,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,279415,99,276622,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,2022-11-09T04:04:17.210Z,
1668695665,2022-11-17 08:34:25 -0600,40ce7ac34833a1ca8af086ce5d09c05d2ac8abc5,NC-20221108_Eday80,34,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,279415,99,276777,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,2022-11-09T04:04:17.210Z,
