captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.7374.first,candidates.7374.last,candidates.7374.incumbent,candidates.7374.party,candidates.7374.candidateID,candidates.7374.ballotOrder,candidates.7374.polID,candidates.7374.polNum,candidates.7374.electWon,candidates.7377.first,candidates.7377.last,candidates.7377.party,candidates.7377.candidateID,candidates.7377.ballotOrder,candidates.7377.polID,candidates.7377.polNum,candidates.7377.electWon,candidates.7378.first,candidates.7378.last,candidates.7378.party,candidates.7378.candidateID,candidates.7378.ballotOrder,candidates.7378.polID,candidates.7378.polNum,candidates.7378.electWon,candidates.7404.last,candidates.7404.abbrv,candidates.7404.party,candidates.7404.candidateID,candidates.7404.ballotOrder,candidates.7404.polID,candidates.7404.polNum,candidates.7404.electWon,candidates.7485.first,candidates.7485.last,candidates.7485.party,candidates.7485.candidateID,candidates.7485.ballotOrder,candidates.7485.polID,candidates.7485.polNum,candidates.7485.electWon,isCertified,isShowingRankedChoiceResults,candidates.7499.first,candidates.7499.last,candidates.7499.incumbent,candidates.7499.party,candidates.7499.candidateID,candidates.7499.ballotOrder,candidates.7499.polID,candidates.7499.polNum,candidates.7500.first,candidates.7500.last,candidates.7500.party,candidates.7500.candidateID,candidates.7500.ballotOrder,candidates.7500.polID,candidates.7500.polNum,candidates.7501.last,candidates.7501.abbrv,candidates.7501.party,candidates.7501.candidateID,candidates.7501.ballotOrder,candidates.7501.polID,candidates.7501.polNum,candidates.7502.first,candidates.7502.last,candidates.7502.party,candidates.7502.candidateID,candidates.7502.ballotOrder,candidates.7502.polID,candidates.7502.polNum,candidates.7503.first,candidates.7503.last,candidates.7503.party,candidates.7503.candidateID,candidates.7503.ballotOrder,candidates.7503.polID,candidates.7503.polNum,candidates.7499.winnerDateTime
1667981845,2022-11-09 02:17:25 -0600,7e68193d40ccd008289f64ac07d8a8176d00c571,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,320540,99,198735,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667981884,2022-11-09 02:18:04 -0600,1d01d3e7b1a7d975fd5163dbde647aabc94b3598,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,294712,99,147356,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667981923,2022-11-09 02:18:43 -0600,72d70ddd6acecdb673c79e8b3e57763fb964c22c,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,320540,99,198735,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667987885,2022-11-09 03:58:05 -0600,e58f83f6209f6acb460b43b5d889d2b7efed466d,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,320540,99,203758,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667989601,2022-11-09 04:26:41 -0600,dc86e4cd00902bc0e04bbdd36be1e9dd1552423e,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,299644,99,203758,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667994749,2022-11-09 05:52:29 -0600,148724610ce66af596333590b2c0815505e94ceb,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,299644,99,213329,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667995710,2022-11-09 06:08:30 -0600,962f3f394af10c453d233b04b469ae64bfc0d291,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,284439,99,213329,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668035854,2022-11-09 17:17:34 -0600,67a71f79ab753d9621c8b551c12dff1582b6ed5d,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,284439,99,214333,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668037614,2022-11-09 17:46:54 -0600,8a4667a14876b90211397a1fd155f0ad65165cb0,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,284439,99,214393,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668045238,2022-11-09 19:53:58 -0600,00dcaddd93d3b3f51d494e8c94dc8639d52ea0bd,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,267991,99,214393,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668107965,2022-11-10 13:19:25 -0600,665b086616b86d4d9348de70e940bf53585e9da0,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,267991,99,214659,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
