captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.21764.first,candidates.21764.last,candidates.21764.party,candidates.21764.incumbent,candidates.21764.candidateID,candidates.21764.polID,candidates.21764.ballotOrder,candidates.21764.polNum,candidates.21764.electWon,candidates.23267.first,candidates.23267.last,candidates.23267.party,candidates.23267.candidateID,candidates.23267.polID,candidates.23267.ballotOrder,candidates.23267.polNum,candidates.23267.electWon,candidates.23725.first,candidates.23725.last,candidates.23725.party,candidates.23725.candidateID,candidates.23725.polID,candidates.23725.ballotOrder,candidates.23725.polNum,candidates.23725.electWon,candidates.21764.winnerDateTime
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,376888,99,286463,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,345379,99,290582,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,347243,99,294786,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,347243,99,311598,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,376888,99,316552,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,376888,99,316668,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,376888,99,328873,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,352983,99,335703,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,376888,99,335703,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,358654,99,335878,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,358831,99,342497,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,350826,99,347318,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,350826,99,348030,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
