captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.30588.first,candidates.30588.last,candidates.30588.abbrv,candidates.30588.incumbent,candidates.30588.party,candidates.30588.candidateID,candidates.30588.ballotOrder,candidates.30588.polID,candidates.30588.polNum,candidates.30588.electWon,candidates.32135.first,candidates.32135.last,candidates.32135.party,candidates.32135.candidateID,candidates.32135.ballotOrder,candidates.32135.polID,candidates.32135.polNum,candidates.32135.electWon,candidates.30588.winnerDateTime,isCertified
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,499445,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,628465,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,624785,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,685191,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,764402,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,1056016,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,1122205,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,1232841,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,1351883,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,1374719,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
