captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.9767.last,candidates.9767.abbrv,candidates.9767.party,candidates.9767.candidateID,candidates.9767.ballotOrder,candidates.9767.polID,candidates.9767.polNum,candidates.9767.electWon,candidates.9768.last,candidates.9768.party,candidates.9768.candidateID,candidates.9768.ballotOrder,candidates.9768.polID,candidates.9768.polNum,candidates.9768.electWon,raceCallStatus,candidates.9768.winnerDateTime,isCertified
1668044945,2022-11-09 19:49:05 -0600,2c3c1a26bfe12431c2627940e7f0f1260e1f9ec6,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,3000000,70,1808315,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668044985,2022-11-09 19:49:45 -0600,9d3a0e86c726b04c966faf8f14aec55c0bda867b,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,3000000,70,1813985,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668045538,2022-11-09 19:58:58 -0600,c097c6b773a372e3aff808dea9e94f60de13e648,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,3000000,70,1820676,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668048160,2022-11-09 20:42:40 -0600,feaefce5df01192887eee2eb427f5fcf1e9e6d6f,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,3000000,70,1837110,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668049828,2022-11-09 21:10:28 -0600,931a82d88fc02659900459340c8bce8785209c37,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,3000000,70,1843127,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668051524,2022-11-09 21:38:44 -0600,b1c8e0704c23a49a341dd215dfb60c33632b38b3,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,3000000,70,1845892,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668099175,2022-11-10 10:52:55 -0600,4a65a0aff9f2e72db3788ed634b45ac92ed13608,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,1845892,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668108680,2022-11-10 13:31:20 -0600,b12445dae27ac1777ad53520b637c33ff85f3a13,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,1846234,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668112315,2022-11-10 14:31:55 -0600,93c9f79b275176b9d87b39c82d2c3d518c066937,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,1846497,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668116311,2022-11-10 15:38:31 -0600,8b2a598799064fee29af475ea3c38e48ed631951,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,1846853,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
