captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.32035.last,candidates.32035.party,candidates.32035.candidateID,candidates.32035.ballotOrder,candidates.32035.polID,candidates.32035.polNum,candidates.32035.electWon,candidates.32036.last,candidates.32036.party,candidates.32036.candidateID,candidates.32036.ballotOrder,candidates.32036.polID,candidates.32036.polNum,candidates.32036.electWon,raceCallStatus,candidates.32035.winnerDateTime,isCertified
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,275052,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,290071,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,298764,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,335090,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,386836,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667968092,2022-11-08 22:28:12 -0600,c3a7bcfa6d57d19e0339cd5eff437c13c5a7dec5,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,401580,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,427713,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667969810,2022-11-08 22:56:50 -0600,b4af1c5ed222b2aca51b198a04f7adfc76d9c4e9,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,465541,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667970637,2022-11-08 23:10:37 -0600,879713b6aae904f8cc55b1a8c3ce99346dd39ab3,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,493452,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667971525,2022-11-08 23:25:25 -0600,8a3d225df35b90ad7577e78c738af67af6cd9c8b,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,527187,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
