captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.38016.last,candidates.38016.party,candidates.38016.candidateID,candidates.38016.ballotOrder,candidates.38016.polID,candidates.38016.polNum,candidates.38016.electWon,candidates.38017.last,candidates.38017.party,candidates.38017.candidateID,candidates.38017.ballotOrder,candidates.38017.polID,candidates.38017.polNum,candidates.38017.electWon,raceCallStatus,candidates.38016.winnerDateTime
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,632530,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,785944,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,781487,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,868673,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1031954,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667967592,2022-11-08 22:19:52 -0600,bb461283809479aaf92a1a30cba63636f0c85695,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1144627,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1189080,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667969204,2022-11-08 22:46:44 -0600,861af312a343e9b4769e08b8c7c8c17fab4dadef,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1578560,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667969984,2022-11-08 22:59:44 -0600,a2fb710992b888fe9f7e47092d88395e89230dfc,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1819666,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667970812,2022-11-08 23:13:32 -0600,1aa0c0767ec6f65018ec090a318d7ab5fec791c2,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1823924,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667970899,2022-11-08 23:14:59 -0600,ca5b649b3885623b3ef37439107a0fa8db2d1846,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1956270,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667971079,2022-11-08 23:17:59 -0600,1cf7281bce65e8581e70a1164dc3589ed87371d4,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1835168,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667971124,2022-11-08 23:18:44 -0600,f9d1c6b5aa5f6a3f4c976d51307de08576c2bf77,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,1956270,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667971839,2022-11-08 23:30:39 -0600,3cda52854e51a6576b7495d3201be6e474dda96c,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2129585,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667972718,2022-11-08 23:45:18 -0600,82050e33466e239ff80fc50a65e5e86526b235c1,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2234848,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667973292,2022-11-08 23:54:52 -0600,f4e2e76b95b1963799e86b607fe710743960389e,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2280632,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667973338,2022-11-08 23:55:38 -0600,60e23f89b0832d690c2e9c2012f75df6b998f230,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2234848,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
