captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23061.first,candidates.23061.last,candidates.23061.party,candidates.23061.candidateID,candidates.23061.polID,candidates.23061.ballotOrder,candidates.23061.polNum,candidates.23061.electWon,candidates.23066.first,candidates.23066.last,candidates.23066.party,candidates.23066.candidateID,candidates.23066.polID,candidates.23066.ballotOrder,candidates.23066.polNum,candidates.23066.electWon,candidates.23061.winnerDateTime,isCertified
1668048419,2022-11-09 20:46:59 -0600,590133e7598192dd6f8228faa83c52abbea3159b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,172448,90,75877,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668049258,2022-11-09 21:00:58 -0600,992acc8882386808510426dfdb31629a8b2c2464,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,172448,95,75877,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668125405,2022-11-10 18:10:05 -0600,bc72fb8e5b29cc7146e08433a25086f0bea918a6,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,143164,95,75877,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668133546,2022-11-10 20:25:46 -0600,e01bd60a1f24d766f827eccdbfe2328baa06f184,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,143164,95,82555,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668134398,2022-11-10 20:39:58 -0600,0a8458a58decced3f0e4c913439b5432de00d5b6,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,143164,99,82555,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668135300,2022-11-10 20:55:00 -0600,3ea61f6dd47b9112cbb8a6ce56ff36b9f2869bd0,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,139924,99,82555,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668213403,2022-11-11 18:36:43 -0600,da1fabe708448d7953dc09232447443b9e2d9e5f,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,139924,99,86072,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668220917,2022-11-11 20:41:57 -0600,afcfb37199d1ef2288644d30b5e0b55aa13fb7da,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,134488,99,86072,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668220998,2022-11-11 20:43:18 -0600,1b3838c851096756315b14709e3d37564a949480,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,139924,99,86072,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1668221039,2022-11-11 20:43:59 -0600,b7ca1e38811a966eba6c5ae318e40f37e3eeec0d,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,134488,99,86072,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
