captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.52392.first,candidates.52392.last,candidates.52392.incumbent,candidates.52392.party,candidates.52392.candidateID,candidates.52392.ballotOrder,candidates.52392.polID,candidates.52392.polNum,candidates.52392.electWon,candidates.53981.first,candidates.53981.last,candidates.53981.party,candidates.53981.candidateID,candidates.53981.ballotOrder,candidates.53981.polID,candidates.53981.polNum,candidates.53981.electWon,candidates.54247.first,candidates.54247.last,candidates.54247.party,candidates.54247.candidateID,candidates.54247.ballotOrder,candidates.54247.polID,candidates.54247.polNum,candidates.54247.electWon,candidates.54248.first,candidates.54248.last,candidates.54248.party,candidates.54248.candidateID,candidates.54248.ballotOrder,candidates.54248.polID,candidates.54248.polNum,candidates.54248.electWon,candidates.54249.first,candidates.54249.last,candidates.54249.party,candidates.54249.candidateID,candidates.54249.ballotOrder,candidates.54249.polID,candidates.54249.polNum,candidates.54249.electWon,candidates.52392.winnerDateTime
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,96928,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,100221,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,101820,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,100221,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,101820,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,104002,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,147216,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,148973,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,149243,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,152622,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,154147,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,305735,99,159444,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
