captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22632.first,candidates.22632.last,candidates.22632.abbrv,candidates.22632.party,candidates.22632.candidateID,candidates.22632.polID,candidates.22632.ballotOrder,candidates.22632.polNum,candidates.22632.electWon,candidates.22638.first,candidates.22638.last,candidates.22638.abbrv,candidates.22638.party,candidates.22638.candidateID,candidates.22638.polID,candidates.22638.ballotOrder,candidates.22638.polNum,candidates.22638.electWon,candidates.22638.winnerDateTime
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,116680,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,144279,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,149102,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,156071,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,221116,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,239756,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,249732,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,336979,99,291512,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,355541,99,296849,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667969984,2022-11-08 22:59:44 -0600,a2fb710992b888fe9f7e47092d88395e89230dfc,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,355541,99,299369,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
