captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22542.first,candidates.22542.last,candidates.22542.incumbent,candidates.22542.party,candidates.22542.candidateID,candidates.22542.ballotOrder,candidates.22542.polID,candidates.22542.polNum,candidates.22542.electWon,candidates.23189.first,candidates.23189.last,candidates.23189.party,candidates.23189.candidateID,candidates.23189.ballotOrder,candidates.23189.polID,candidates.23189.polNum,candidates.23189.electWon,candidates.23720.first,candidates.23720.last,candidates.23720.party,candidates.23720.candidateID,candidates.23720.ballotOrder,candidates.23720.polID,candidates.23720.polNum,candidates.23720.electWon,candidates.22542.winnerDateTime
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,289969,99,284390,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667968709,2022-11-08 22:38:29 -0600,a479186c1a21e09ae947de1863bf72d461e8b879,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287263,99,284390,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667971350,2022-11-08 23:22:30 -0600,4e8d6a153dbb49007925da1747ddadcd1394934d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287263,99,284591,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667971395,2022-11-08 23:23:15 -0600,d97519c7c3720d6e80913290b35064b53dd231cc,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287263,99,284390,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667971438,2022-11-08 23:23:58 -0600,d5ddddc05986f343066e92d34cfda0b6971066eb,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287263,99,284591,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667972898,2022-11-08 23:48:18 -0600,7f5611a68542690dfbbea4b10f2d25fb123813f8,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287263,99,284658,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667977035,2022-11-09 00:57:15 -0600,89983779edad63b3a09a72677c82618581111910,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,289841,99,284658,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667980799,2022-11-09 01:59:59 -0600,934823804566c431cf70570e863807e708ff1c49,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,288975,99,284658,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667986270,2022-11-09 03:31:10 -0600,8b08ac238b66c1bf432ca7a82738d5523f4e4f8f,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287534,99,284658,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668096730,2022-11-10 10:12:10 -0600,93326c2a22c2e0b22b9c2ff566a82c6c9e935e64,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,287534,99,284658,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
