captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56976.first,candidates.56976.last,candidates.56976.party,candidates.56976.incumbent,candidates.56976.candidateID,candidates.56976.polID,candidates.56976.ballotOrder,candidates.56976.polNum,candidates.56976.electWon,candidates.62899.first,candidates.62899.last,candidates.62899.abbrv,candidates.62899.party,candidates.62899.candidateID,candidates.62899.polID,candidates.62899.ballotOrder,candidates.62899.polNum,candidates.62899.electWon,candidates.63497.first,candidates.63497.last,candidates.63497.party,candidates.63497.candidateID,candidates.63497.polID,candidates.63497.ballotOrder,candidates.63497.polNum,candidates.63497.electWon,candidates.56976.winnerDateTime,isCertified
1667978016,2022-11-09 01:13:36 -0600,7febc527721e6e7f43de63ba3eb206040d4f99d8,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,111805,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667983071,2022-11-09 02:37:51 -0600,84bbf1af0bb96f095aaf2f6f55e9d106638797ad,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,170226,99,111805,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667983110,2022-11-09 02:38:30 -0600,9ea3a1f7d9d605b7e87dd04e8c7cd126ffd51139,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,111805,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667983149,2022-11-09 02:39:09 -0600,f17f62c6411696475865d02e47d92617e807836a,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,170226,99,111805,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667987035,2022-11-09 03:43:55 -0600,87b2642ee41f88bdc2e6caeced2634ba3e07813c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,111805,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667987073,2022-11-09 03:44:33 -0600,b0d1c36c044b8eae88b2841a5a59da6906503ae5,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,170226,99,111805,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667987563,2022-11-09 03:52:43 -0600,8abcd32a71680efad0e1b14075bb8680bae203ec,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,111805,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667988922,2022-11-09 04:15:22 -0600,f2fa14f9c9cdc4848abee151cdeb35c28ce0f80a,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,113419,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667988962,2022-11-09 04:16:02 -0600,c9c4a60677ea04d6ab18d6eec6d6c3a7761f64fa,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,111805,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667989001,2022-11-09 04:16:41 -0600,bf48d088f90a7df84b22532f076e84f8881100c4,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,113419,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667993194,2022-11-09 05:26:34 -0600,aaec70416eac8844dcef850d45672645bfecb7ca,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,120560,99,113419,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667993637,2022-11-09 05:33:57 -0600,c466fc7296c61cf151348ec0cdbb5d5ac3aad22f,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,158857,99,113419,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667993675,2022-11-09 05:34:35 -0600,7359e9d5a1497c25a786529c8354ce66a6cb52fe,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,120560,99,113419,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667994074,2022-11-09 05:41:14 -0600,a4c43da0969a01ba96414112083180ea9f927cc7,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,173032,99,113419,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667996395,2022-11-09 06:19:55 -0600,d9e7beb5cf34798665cd100debfb30ec4eb697fa,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,120560,99,113419,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1668008037,2022-11-09 09:33:57 -0600,4779ec774c5f2518605741f744afd415f0ba829d,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,120560,99,113593,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1668043606,2022-11-09 19:26:46 -0600,71d6b6bf0a23ca1105d78fef964ac83792d166e1,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,120560,99,113599,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1668091346,2022-11-10 08:42:26 -0600,bbf88bea853383c17ce254a32a70ba754695a592,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,114746,99,113599,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1668448896,2022-11-14 12:01:36 -0600,cacc807ac41465ae064a31ee4a37af116220659b,TX-20221108_Eday80,44,General,G,Tabulation Paused,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,114746,99,113599,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1669826378,2022-11-30 10:39:38 -0600,6bb42d111df6bde40607b171d9153e1b4014f524,TX-20221108_Eday80,44,General,G,Gathering Certified Results,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,114030,100,113599,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,False
