captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.32683.first,candidates.32683.last,candidates.32683.party,candidates.32683.candidateID,candidates.32683.polID,candidates.32683.ballotOrder,candidates.32683.polNum,candidates.32683.electWon,candidates.32686.first,candidates.32686.last,candidates.32686.party,candidates.32686.candidateID,candidates.32686.polID,candidates.32686.ballotOrder,candidates.32686.polNum,candidates.32686.electWon,candidates.32691.first,candidates.32691.last,candidates.32691.party,candidates.32691.candidateID,candidates.32691.polID,candidates.32691.ballotOrder,candidates.32691.polNum,candidates.32691.electWon,candidates.32686.winnerDateTime,isCertified
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,166255,99,164836,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,166499,99,164836,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668459798,2022-11-14 15:03:18 -0600,60fbbe29b7ea684d0c76e1fbe3f105a0207520cd,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,166499,99,166122,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668460853,2022-11-14 15:20:53 -0600,9a4d50c51b4556fd8c1fcf9f89d55b2b25a639a0,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,167798,99,166122,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668462028,2022-11-14 15:40:28 -0600,a0edebc2540ae4e62d7aec86a636c68a5c67eb51,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,167798,99,166165,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668534085,2022-11-15 11:41:25 -0600,d8d5cd7a0288124e814149e1d06376eb7657d6ca,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,167841,99,166165,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668535045,2022-11-15 11:57:25 -0600,91a222d76f219e24dc14c357cdb61265e1a136f3,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,167841,99,166860,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668543697,2022-11-15 14:21:37 -0600,bc243df479ff94ed45890731ad13937431fac170,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,168543,99,166860,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668786483,2022-11-18 09:48:03 -0600,2e26b37bfc842c89cde17e47cedc6861a8c2447d,MS-20221108_Eday80,25,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,168543,99,166860,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668788494,2022-11-18 10:21:34 -0600,7266acdfce6dd6cef537bd484773078206dfe4d5,MS-20221108_Eday80,25,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,168517,99,166888,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668790383,2022-11-18 10:53:03 -0600,17aa408a98c1ffa5a2bfd97e9ab6f1e33cac139d,MS-20221108_Eday80,25,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,168517,99,173085,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668792837,2022-11-18 11:33:57 -0600,65388b3d98acdeba45ab158a1487cf84aae5e400,MS-20221108_Eday80,25,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,168517,99,174175,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668796799,2022-11-18 12:39:59 -0600,4418e41a674a142be4a3a988fb7d92323feb87c0,MS-20221108_Eday80,25,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,170671,99,174175,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668798450,2022-11-18 13:07:30 -0600,dd7a1a933df34afe17310836dc911728fd9e82f7,MS-20221108_Eday80,25,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,175932,99,174187,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1668805375,2022-11-18 15:02:55 -0600,c707bd414e77d2736de3064e31288d60de1974d9,MS-20221108_Eday80,25,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,175932,99,174258,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1669764989,2022-11-29 17:36:29 -0600,51c58b5f86e7b3e48dc2352ab1f013f11fa9d6a6,MS-20221108_Eday80,25,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 4,4,174258,100,174258,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,False
