captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56902.first,candidates.56902.last,candidates.56902.party,candidates.56902.incumbent,candidates.56902.candidateID,candidates.56902.polID,candidates.56902.ballotOrder,candidates.56902.polNum,candidates.56902.electWon,candidates.62945.first,candidates.62945.last,candidates.62945.party,candidates.62945.candidateID,candidates.62945.polID,candidates.62945.ballotOrder,candidates.62945.polNum,candidates.62945.electWon,candidates.56902.winnerDateTime
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,191734,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667971879,2022-11-08 23:31:19 -0600,e58483b4fb47a48c624446a947423840f5e4d94b,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,194999,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667972718,2022-11-08 23:45:18 -0600,82050e33466e239ff80fc50a65e5e86526b235c1,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,196306,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667976875,2022-11-09 00:54:35 -0600,aef5a4a9a30b34f946f3098786ce9297f77ec589,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,196347,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667979685,2022-11-09 01:41:25 -0600,af7b8ef1f38511aa48d86442ff26098954b3c7df,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,204850,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667980960,2022-11-09 02:02:40 -0600,77e86fad3864f77f6953461bce33086104908ed9,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,212328,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667981000,2022-11-09 02:03:20 -0600,1844b1345bbfb22bedca82071a40b5941a2e46f1,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,204850,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667981363,2022-11-09 02:09:23 -0600,bfa0f0af48aad4f07dbb25f4832040f613fe6f03,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,212328,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667981404,2022-11-09 02:10:04 -0600,e09740c31d10d15245b40b33933c939d855e3457,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,204850,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667981443,2022-11-09 02:10:43 -0600,7cffe27ed1e74c6f72f6bbb8eb945d7366a075bf,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,212328,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
