captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.30400.first,candidates.30400.last,candidates.30400.party,candidates.30400.incumbent,candidates.30400.candidateID,candidates.30400.polID,candidates.30400.ballotOrder,candidates.30400.polNum,candidates.30400.electWon,candidates.32200.first,candidates.32200.last,candidates.32200.party,candidates.32200.candidateID,candidates.32200.polID,candidates.32200.ballotOrder,candidates.32200.polNum,candidates.32200.electWon,candidates.32708.first,candidates.32708.last,candidates.32708.party,candidates.32708.candidateID,candidates.32708.polID,candidates.32708.ballotOrder,candidates.32708.polNum,candidates.32708.electWon,candidates.30400.winnerDateTime,isCertified
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,207152,99,180717,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1667969549,2022-11-08 22:52:29 -0600,d5fdf591369d5db6b2ad36681ee672e4aa744331,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,201248,99,181293,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1667970415,2022-11-08 23:06:55 -0600,f1d4e9736f94ffa7aa7ebd5da07699c9a419c5df,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,200855,99,181293,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1667972072,2022-11-08 23:34:32 -0600,5f08375f0416ad308fd9009cb811eb22d16c43e4,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,200855,99,181772,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1667972854,2022-11-08 23:47:34 -0600,4c493d7ad5df619297ee4ec86e6725cbd0fcac02,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,200667,99,182051,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1667972898,2022-11-08 23:48:18 -0600,7f5611a68542690dfbbea4b10f2d25fb123813f8,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,200855,99,181772,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1667972943,2022-11-08 23:49:03 -0600,2188e3ab5f27e10fb4df9e561d0af4cab5cf665c,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,200667,99,182051,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1667974899,2022-11-09 00:21:39 -0600,387e9cf2d205ebca879101fc8e33b930b1cbd329,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,198648,99,182051,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668116055,2022-11-10 15:34:15 -0600,fb0eee04e59dfb5c7db34b8c85c17555d0ebd8c0,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,197882,99,182051,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668142157,2022-11-10 22:49:17 -0600,9facbc59629e98553d76313b8cf3ac58e02f57d2,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,197882,99,190764,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668181110,2022-11-11 09:38:30 -0600,3eccd01e4ac282881df3f4026c01b21f02d4f4cc,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,197882,99,194118,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668183518,2022-11-11 10:18:38 -0600,5a0fb0f8df4b1143daef314d9f887280515d63b8,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,211764,99,194118,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
