captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.37363.first,candidates.37363.last,candidates.37363.incumbent,candidates.37363.party,candidates.37363.candidateID,candidates.37363.ballotOrder,candidates.37363.polID,candidates.37363.polNum,candidates.37363.electWon,candidates.37375.first,candidates.37375.last,candidates.37375.party,candidates.37375.candidateID,candidates.37375.ballotOrder,candidates.37375.polID,candidates.37375.polNum,candidates.37375.electWon,candidates.37969.first,candidates.37969.last,candidates.37969.party,candidates.37969.candidateID,candidates.37969.ballotOrder,candidates.37969.polID,candidates.37969.polNum,candidates.37969.electWon,candidates.37970.first,candidates.37970.last,candidates.37970.abbrv,candidates.37970.party,candidates.37970.candidateID,candidates.37970.ballotOrder,candidates.37970.polID,candidates.37970.polNum,candidates.37970.electWon,candidates.37363.winnerDateTime
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,51568,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,55512,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,59434,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,58694,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,59434,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,62656,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,67127,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,70889,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,87597,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,93651,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667967725,2022-11-08 22:22:05 -0600,2e205cdf5acdeccc3a2b1c632c181258e2163fd9,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,129702,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667968538,2022-11-08 22:35:38 -0600,921a14073c0a588fcddcb6fa0c38955a3a5e6401,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,141309,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667969376,2022-11-08 22:49:36 -0600,4ac813ba060ccffdf02cdf61aae9dd9c0b214438,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,173707,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,174281,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667970241,2022-11-08 23:04:01 -0600,d53bae4b64596045c97e6eb2ac077f70fc0cec78,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,173707,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667970284,2022-11-08 23:04:44 -0600,0fc8b3fccaefe74cf333b488517dd0339b8dd0b7,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,174281,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667970327,2022-11-08 23:05:27 -0600,1b6c4725cf9e59e40e1d6792336f8520d5b10b5b,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,177456,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667971124,2022-11-08 23:18:44 -0600,f9d1c6b5aa5f6a3f4c976d51307de08576c2bf77,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,207186,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667971921,2022-11-08 23:32:01 -0600,1ebecb55cb747fea463c7459ee81768ba8fae636,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,218659,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667972675,2022-11-08 23:44:35 -0600,abc190fd74975557bf2546720ebdf83a0ace1d57,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,237825,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667973512,2022-11-08 23:58:32 -0600,c5b8277525be0367964460ee9775326f5b2cc341,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,257882,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667975609,2022-11-09 00:33:29 -0600,62fa28ab1db323241f81f05574f15005f7d100fe,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,263710,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667976265,2022-11-09 00:44:25 -0600,f24bbc37a7ca703e419e133d048b4da5b1f386e7,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,293311,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667977035,2022-11-09 00:57:15 -0600,89983779edad63b3a09a72677c82618581111910,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,303054,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667977118,2022-11-09 00:58:38 -0600,166d3636d4ad2b271b1961e941eeb74972fe2b9a,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,293311,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667977161,2022-11-09 00:59:21 -0600,d4158baa35ee56754832f9c50c65e72445101881,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,303054,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667978785,2022-11-09 01:26:25 -0600,af0eab9768fdd8200aa460357a21f2c42b46d660,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,327827,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667978867,2022-11-09 01:27:47 -0600,8f7ffef576df16b5e6e751d97fa7f2b2a5635644,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,303054,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667978906,2022-11-09 01:28:26 -0600,46fb017a53063e25347989264492b06463ea0564,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,327827,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667979727,2022-11-09 01:42:07 -0600,f41db939b852c033d0f66ec2a12ae59a5cf6c37a,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,340265,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667983149,2022-11-09 02:39:09 -0600,f17f62c6411696475865d02e47d92617e807836a,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,343968,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667983921,2022-11-09 02:52:01 -0600,e28a6eb225402fb173e795ae259b4d56ced3a40a,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,353312,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667986630,2022-11-09 03:37:10 -0600,bdc18b7713211c3f675ae3f141b7e51a89bfd88d,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,378536,99,362566,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667987444,2022-11-09 03:50:44 -0600,535a461b75364f2c1d70c8e62728ceb9443765d2,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,379854,99,363168,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667988326,2022-11-09 04:05:26 -0600,81f3312db0f02393b6f99b1a3db05495e5086572,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,381933,99,363168,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1667989162,2022-11-09 04:19:22 -0600,a00a55b6e4b2e7194f9b097d510baa2b86d6d503,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,380929,99,363168,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1668004756,2022-11-09 08:39:16 -0600,c06681941eae3b2c6d5285d19938ecb377651dd8,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,380929,99,364243,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1668017165,2022-11-09 12:06:05 -0600,082aa88b5912cef98698929006425a7c1aa446a4,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,380929,99,372900,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
1668018004,2022-11-09 12:20:04 -0600,60b2503bcd7308902ff4a2049872255350769dfc,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,379168,99,372900,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,2022-11-09T04:11:23.895Z
